date,Sanierung,isPartial
2018-01-07,23,False
2018-01-14,24,False
2018-01-21,95,False
2018-01-28,47,False
2018-02-04,24,False
2018-02-11,24,False
2018-02-18,49,False
2018-02-25,25,False
2018-03-04,24,False
2018-03-11,47,False
2018-03-18,36,False
2018-03-25,100,False
2018-04-01,0,False
2018-04-08,54,False
2018-04-15,56,False
2018-04-22,43,False
2018-04-29,0,False
2018-05-06,51,False
2018-05-13,24,False
2018-05-20,87,False
2018-05-27,52,False
2018-06-03,36,False
2018-06-10,23,False
2018-06-17,25,False
2018-06-24,73,False
2018-07-01,24,False
2018-07-08,36,False
2018-07-15,50,False
2018-07-22,25,False
2018-07-29,25,False
2018-08-05,24,False
2018-08-12,50,False
2018-08-19,48,False
2018-08-26,36,False
2018-09-02,0,False
2018-09-09,25,False
2018-09-16,73,False
2018-09-23,74,False
2018-09-30,53,False
2018-10-07,43,False
2018-10-14,45,False
2018-10-21,30,False
2018-10-28,54,False
2018-11-04,25,False
2018-11-11,61,False
2018-11-18,30,False
2018-11-25,60,False
2018-12-02,42,False
2018-12-09,29,False
2018-12-16,32,False
2018-12-23,33,False
2018-12-30,0,False
2019-01-06,23,False
2019-01-13,33,False
2019-01-20,44,False
2019-01-27,22,False
2019-02-03,45,False
2019-02-10,34,False
2019-02-17,24,False
2019-02-24,23,False
2019-03-03,82,False
2019-03-10,46,False
2019-03-17,35,False
2019-03-24,46,False
2019-03-31,23,False
2019-04-07,46,False
2019-04-14,100,False
2019-04-21,48,False
2019-04-28,46,False
2019-05-05,44,False
2019-05-12,22,False
2019-05-19,44,False
2019-05-26,89,False
2019-06-02,23,False
2019-06-09,47,False
2019-06-16,35,False
2019-06-23,70,False
2019-06-30,23,False
2019-07-07,33,False
2019-07-14,24,False
2019-07-21,24,False
2019-07-28,35,False
2019-08-04,73,False
2019-08-11,24,False
2019-08-18,46,False
2019-08-25,69,False
2019-09-01,0,False
2019-09-08,35,False
2019-09-15,24,False
2019-09-22,72,False
2019-09-29,23,False
2019-10-06,36,False
2019-10-13,50,False
2019-10-20,50,False
2019-10-27,73,False
2019-11-03,72,False
2019-11-10,0,False
2019-11-17,60,False
2019-11-24,73,False
2019-12-01,25,False
2019-12-08,25,False
2019-12-15,64,False
2019-12-22,0,False
2019-12-29,65,False
2020-01-05,19,False
2020-01-12,21,False
2020-01-19,45,False
2020-01-26,43,False
2020-02-02,41,False
2020-02-09,41,False
2020-02-16,0,False
2020-02-23,33,False
2020-03-01,55,False
2020-03-08,43,False
2020-03-15,21,False
2020-03-22,26,False
2020-03-29,18,False
2020-04-05,20,False
2020-04-12,28,False
2020-04-19,18,False
2020-04-26,47,False
2020-05-03,19,False
2020-05-10,79,False
2020-05-17,42,False
2020-05-24,30,False
2020-05-31,48,False
2020-06-07,31,False
2020-06-14,38,False
2020-06-21,21,False
2020-06-28,32,False
2020-07-05,57,False
