date,Dachfenster,isPartial
2018-01-07,39,False
2018-01-14,0,False
2018-01-21,50,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,25,False
2018-02-18,0,False
2018-02-25,38,False
2018-03-04,38,False
2018-03-11,0,False
2018-03-18,26,False
2018-03-25,26,False
2018-04-01,27,False
2018-04-08,27,False
2018-04-15,0,False
2018-04-22,39,False
2018-04-29,54,False
2018-05-06,27,False
2018-05-13,25,False
2018-05-20,53,False
2018-05-27,0,False
2018-06-03,38,False
2018-06-10,0,False
2018-06-17,25,False
2018-06-24,25,False
2018-07-01,62,False
2018-07-08,50,False
2018-07-15,27,False
2018-07-22,26,False
2018-07-29,41,False
2018-08-05,26,False
2018-08-12,0,False
2018-08-19,26,False
2018-08-26,26,False
2018-09-02,26,False
2018-09-09,26,False
2018-09-16,51,False
2018-09-23,26,False
2018-09-30,52,False
2018-10-07,26,False
2018-10-14,0,False
2018-10-21,26,False
2018-10-28,52,False
2018-11-04,0,False
2018-11-11,25,False
2018-11-18,48,False
2018-11-25,0,False
2018-12-02,25,False
2018-12-09,26,False
2018-12-16,26,False
2018-12-23,0,False
2018-12-30,51,False
2019-01-06,46,False
2019-01-13,45,False
2019-01-20,46,False
2019-01-27,24,False
2019-02-03,46,False
2019-02-10,24,False
2019-02-17,0,False
2019-02-24,70,False
2019-03-03,24,False
2019-03-10,23,False
2019-03-17,24,False
2019-03-24,48,False
2019-03-31,25,False
2019-04-07,60,False
2019-04-14,0,False
2019-04-21,25,False
2019-04-28,47,False
2019-05-05,23,False
2019-05-12,23,False
2019-05-19,82,False
2019-05-26,35,False
2019-06-02,37,False
2019-06-09,100,False
2019-06-16,63,False
2019-06-23,75,False
2019-06-30,50,False
2019-07-07,48,False
2019-07-14,26,False
2019-07-21,80,False
2019-07-28,51,False
2019-08-04,26,False
2019-08-11,25,False
2019-08-18,24,False
2019-08-25,24,False
2019-09-01,24,False
2019-09-08,24,False
2019-09-15,0,False
2019-09-22,36,False
2019-09-29,24,False
2019-10-06,24,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,46,False
2019-11-10,23,False
2019-11-17,0,False
2019-11-24,23,False
2019-12-01,24,False
2019-12-08,24,False
2019-12-15,49,False
2019-12-22,27,False
2019-12-29,0,False
2020-01-05,44,False
2020-01-12,0,False
2020-01-19,33,False
2020-01-26,0,False
2020-02-02,85,False
2020-02-09,0,False
2020-02-16,23,False
2020-02-23,0,False
2020-03-01,22,False
2020-03-08,20,False
2020-03-15,19,False
2020-03-22,44,False
2020-03-29,36,False
2020-04-05,42,False
2020-04-12,30,False
2020-04-19,19,False
2020-04-26,48,False
2020-05-03,20,False
2020-05-10,19,False
2020-05-17,54,False
2020-05-24,29,False
2020-05-31,41,False
2020-06-07,52,False
2020-06-14,59,False
2020-06-21,42,False
2020-06-28,53,False
2020-07-05,33,False
