date,Brandmeldeanlage,isPartial
2018-01-07,0,False
2018-01-14,57,False
2018-01-21,23,False
2018-01-28,0,False
2018-02-04,24,False
2018-02-11,0,False
2018-02-18,46,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,92,False
2018-03-18,46,False
2018-03-25,25,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,51,False
2018-05-06,0,False
2018-05-13,24,False
2018-05-20,100,False
2018-05-27,0,False
2018-06-03,24,False
2018-06-10,47,False
2018-06-17,48,False
2018-06-24,23,False
2018-07-01,24,False
2018-07-08,24,False
2018-07-15,25,False
2018-07-22,25,False
2018-07-29,26,False
2018-08-05,62,False
2018-08-12,25,False
2018-08-19,0,False
2018-08-26,24,False
2018-09-02,49,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,24,False
2018-09-30,24,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,37,False
2018-10-28,24,False
2018-11-04,0,False
2018-11-11,24,False
2018-11-18,0,False
2018-11-25,46,False
2018-12-02,23,False
2018-12-09,35,False
2018-12-16,24,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,22,False
2019-01-13,0,False
2019-01-20,22,False
2019-01-27,44,False
2019-02-03,45,False
2019-02-10,22,False
2019-02-17,0,False
2019-02-24,22,False
2019-03-03,55,False
2019-03-10,0,False
2019-03-17,23,False
2019-03-24,22,False
2019-03-31,47,False
2019-04-07,46,False
2019-04-14,0,False
2019-04-21,49,False
2019-04-28,23,False
2019-05-05,33,False
2019-05-12,44,False
2019-05-19,67,False
2019-05-26,0,False
2019-06-02,23,False
2019-06-09,47,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,23,False
2019-07-07,22,False
2019-07-14,72,False
2019-07-21,0,False
2019-07-28,48,False
2019-08-04,49,False
2019-08-11,24,False
2019-08-18,0,False
2019-08-25,23,False
2019-09-01,22,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,45,False
2019-09-29,0,False
2019-10-06,54,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,22,False
2019-11-03,0,False
2019-11-10,41,False
2019-11-17,63,False
2019-11-24,21,False
2019-12-01,0,False
2019-12-08,21,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,22,False
2020-01-05,20,False
2020-01-12,19,False
2020-01-19,0,False
2020-01-26,39,False
2020-02-02,19,False
2020-02-09,20,False
2020-02-16,39,False
2020-02-23,28,False
2020-03-01,38,False
2020-03-08,36,False
2020-03-15,19,False
2020-03-22,0,False
2020-03-29,27,False
2020-04-05,20,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,19,False
2020-05-03,38,False
2020-05-10,0,False
2020-05-17,20,False
2020-05-24,19,False
2020-05-31,19,False
2020-06-07,0,False
2020-06-14,19,False
2020-06-21,19,False
2020-06-28,20,False
2020-07-05,20,False
