date,Granit Arbeitsplatte,isPartial
2018-01-07,27,False
2018-01-14,52,False
2018-01-21,65,False
2018-01-28,53,False
2018-02-04,27,False
2018-02-11,0,False
2018-02-18,54,False
2018-02-25,54,False
2018-03-04,27,False
2018-03-11,27,False
2018-03-18,55,False
2018-03-25,57,False
2018-04-01,44,False
2018-04-08,28,False
2018-04-15,28,False
2018-04-22,56,False
2018-04-29,29,False
2018-05-06,29,False
2018-05-13,56,False
2018-05-20,45,False
2018-05-27,59,False
2018-06-03,28,False
2018-06-10,41,False
2018-06-17,41,False
2018-06-24,28,False
2018-07-01,40,False
2018-07-08,0,False
2018-07-15,41,False
2018-07-22,0,False
2018-07-29,29,False
2018-08-05,59,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,30,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,28,False
2018-09-23,28,False
2018-09-30,42,False
2018-10-07,41,False
2018-10-14,27,False
2018-10-21,26,False
2018-10-28,54,False
2018-11-04,52,False
2018-11-11,26,False
2018-11-18,77,False
2018-11-25,26,False
2018-12-02,26,False
2018-12-09,26,False
2018-12-16,27,False
2018-12-23,31,False
2018-12-30,57,False
2019-01-06,33,False
2019-01-13,25,False
2019-01-20,62,False
2019-01-27,100,False
2019-02-03,50,False
2019-02-10,38,False
2019-02-17,38,False
2019-02-24,0,False
2019-03-03,35,False
2019-03-10,33,False
2019-03-17,0,False
2019-03-24,26,False
2019-03-31,0,False
2019-04-07,25,False
2019-04-14,37,False
2019-04-21,54,False
2019-04-28,51,False
2019-05-05,25,False
2019-05-12,26,False
2019-05-19,25,False
2019-05-26,35,False
2019-06-02,39,False
2019-06-09,27,False
2019-06-16,27,False
2019-06-23,26,False
2019-06-30,25,False
2019-07-07,50,False
2019-07-14,0,False
2019-07-21,27,False
2019-07-28,27,False
2019-08-04,29,False
2019-08-11,55,False
2019-08-18,28,False
2019-08-25,29,False
2019-09-01,0,False
2019-09-08,51,False
2019-09-15,79,False
2019-09-22,25,False
2019-09-29,38,False
2019-10-06,25,False
2019-10-13,25,False
2019-10-20,24,False
2019-10-27,24,False
2019-11-03,71,False
2019-11-10,24,False
2019-11-17,24,False
2019-11-24,23,False
2019-12-01,36,False
2019-12-08,32,False
2019-12-15,25,False
2019-12-22,28,False
2019-12-29,27,False
2020-01-05,47,False
2020-01-12,22,False
2020-01-19,23,False
2020-01-26,45,False
2020-02-02,45,False
2020-02-09,45,False
2020-02-16,35,False
2020-02-23,23,False
2020-03-01,66,False
2020-03-08,28,False
2020-03-15,20,False
2020-03-22,47,False
2020-03-29,27,False
2020-04-05,22,False
2020-04-12,65,False
2020-04-19,48,False
2020-04-26,80,False
2020-05-03,27,False
2020-05-10,0,False
