date,bomboniere per battesimo,isPartial
2018-01-07,89,False
2018-01-14,66,False
2018-01-21,94,False
2018-01-28,43,False
2018-02-04,64,False
2018-02-11,65,False
2018-02-18,63,False
2018-02-25,97,False
2018-03-04,63,False
2018-03-11,50,False
2018-03-18,36,False
2018-03-25,60,False
2018-04-01,46,False
2018-04-08,79,False
2018-04-15,52,False
2018-04-22,30,False
2018-04-29,73,False
2018-05-06,57,False
2018-05-13,58,False
2018-05-20,80,False
2018-05-27,29,False
2018-06-03,37,False
2018-06-10,21,False
2018-06-17,65,False
2018-06-24,44,False
2018-07-01,14,False
2018-07-08,36,False
2018-07-15,22,False
2018-07-22,59,False
2018-07-29,53,False
2018-08-05,16,False
2018-08-12,49,False
2018-08-19,24,False
2018-08-26,52,False
2018-09-02,49,False
2018-09-09,50,False
2018-09-16,42,False
2018-09-23,43,False
2018-09-30,78,False
2018-10-07,36,False
2018-10-14,37,False
2018-10-21,50,False
2018-10-28,28,False
2018-11-04,55,False
2018-11-11,36,False
2018-11-18,35,False
2018-11-25,58,False
2018-12-02,22,False
2018-12-09,36,False
2018-12-16,0,False
2018-12-23,17,False
2018-12-30,39,False
2019-01-06,29,False
2019-01-13,21,False
2019-01-20,34,False
2019-01-27,33,False
2019-02-03,68,False
2019-02-10,55,False
2019-02-17,42,False
2019-02-24,35,False
2019-03-03,65,False
2019-03-10,64,False
2019-03-17,51,False
2019-03-24,58,False
2019-03-31,100,False
2019-04-07,35,False
2019-04-14,73,False
2019-04-21,77,False
2019-04-28,57,False
2019-05-05,89,False
2019-05-12,89,False
2019-05-19,27,False
2019-05-26,60,False
2019-06-02,43,False
2019-06-09,57,False
2019-06-16,29,False
2019-06-23,37,False
2019-06-30,29,False
2019-07-07,56,False
2019-07-14,51,False
2019-07-21,59,False
2019-07-28,30,False
2019-08-04,46,False
2019-08-11,16,False
2019-08-18,53,False
2019-08-25,62,False
2019-09-01,59,False
2019-09-08,14,False
2019-09-15,59,False
2019-09-22,66,False
2019-09-29,33,False
2019-10-06,61,False
2019-10-13,0,False
2019-10-20,39,False
2019-10-27,59,False
2019-11-03,38,False
2019-11-10,19,False
2019-11-17,45,False
2019-11-24,38,False
2019-12-01,27,False
2019-12-08,0,False
2019-12-15,27,False
2019-12-22,31,False
2019-12-29,30,False
2020-01-05,33,False
2020-01-12,49,False
2020-01-19,56,False
2020-01-26,25,False
2020-02-02,37,False
2020-02-09,57,False
2020-02-16,44,False
2020-02-23,29,False
2020-03-01,23,False
2020-03-08,23,False
2020-03-15,11,False
2020-03-22,11,False
2020-03-29,0,False
2020-04-05,23,False
2020-04-12,0,False
2020-04-19,11,False
2020-04-26,28,True
