date,Teppiche reinigen,isPartial
2018-01-07,0,False
2018-01-14,33,False
2018-01-21,50,False
2018-01-28,100,False
2018-02-04,34,False
2018-02-11,69,False
2018-02-18,34,False
2018-02-25,56,False
2018-03-04,34,False
2018-03-11,67,False
2018-03-18,34,False
2018-03-25,36,False
2018-04-01,54,False
2018-04-08,35,False
2018-04-15,0,False
2018-04-22,68,False
2018-04-29,36,False
2018-05-06,54,False
2018-05-13,0,False
2018-05-20,36,False
2018-05-27,52,False
2018-06-03,34,False
2018-06-10,50,False
2018-06-17,67,False
2018-06-24,35,False
2018-07-01,0,False
2018-07-08,57,False
2018-07-15,35,False
2018-07-22,35,False
2018-07-29,36,False
2018-08-05,35,False
2018-08-12,0,False
2018-08-19,35,False
2018-08-26,35,False
2018-09-02,35,False
2018-09-09,34,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,52,False
2018-10-07,34,False
2018-10-14,34,False
2018-10-21,34,False
2018-10-28,100,False
2018-11-04,65,False
2018-11-11,51,False
2018-11-18,43,False
2018-11-25,33,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,34,False
2018-12-23,0,False
2018-12-30,35,False
2019-01-06,32,False
2019-01-13,31,False
2019-01-20,0,False
2019-01-27,62,False
2019-02-03,63,False
2019-02-10,0,False
2019-02-17,54,False
2019-02-24,49,False
2019-03-03,63,False
2019-03-10,32,False
2019-03-17,49,False
2019-03-24,33,False
2019-03-31,55,False
2019-04-07,64,False
2019-04-14,35,False
2019-04-21,34,False
2019-04-28,32,False
2019-05-05,0,False
2019-05-12,32,False
2019-05-19,32,False
2019-05-26,33,False
2019-06-02,0,False
2019-06-09,66,False
2019-06-16,33,False
2019-06-23,33,False
2019-06-30,0,False
2019-07-07,33,False
2019-07-14,50,False
2019-07-21,0,False
2019-07-28,34,False
2019-08-04,46,False
2019-08-11,33,False
2019-08-18,67,False
2019-08-25,49,False
2019-09-01,43,False
2019-09-08,65,False
2019-09-15,32,False
2019-09-22,31,False
2019-09-29,63,False
2019-10-06,52,False
2019-10-13,62,False
2019-10-20,31,False
2019-10-27,31,False
2019-11-03,74,False
2019-11-10,30,False
2019-11-17,60,False
2019-11-24,30,False
2019-12-01,61,False
2019-12-08,30,False
2019-12-15,0,False
2019-12-22,35,False
2019-12-29,49,False
2020-01-05,29,False
2020-01-12,28,False
2020-01-19,29,False
2020-01-26,57,False
2020-02-02,57,False
2020-02-09,42,False
2020-02-16,0,False
2020-02-23,42,False
2020-03-01,28,False
2020-03-08,26,False
2020-03-15,34,False
2020-03-22,51,False
2020-03-29,52,False
2020-04-05,56,False
2020-04-12,27,False
2020-04-19,26,False
2020-04-26,38,False
2020-05-03,26,False
2020-05-10,26,False
