date,Vinylboden verlegen,isPartial
2018-01-07,0,False
2018-01-14,46,False
2018-01-21,31,False
2018-01-28,31,False
2018-02-04,47,False
2018-02-11,94,False
2018-02-18,47,False
2018-02-25,31,False
2018-03-04,46,False
2018-03-11,41,False
2018-03-18,42,False
2018-03-25,32,False
2018-04-01,64,False
2018-04-08,64,False
2018-04-15,33,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,33,False
2018-05-13,0,False
2018-05-20,65,False
2018-05-27,31,False
2018-06-03,31,False
2018-06-10,30,False
2018-06-17,31,False
2018-06-24,47,False
2018-07-01,65,False
2018-07-08,32,False
2018-07-15,35,False
2018-07-22,33,False
2018-07-29,31,False
2018-08-05,29,False
2018-08-12,44,False
2018-08-19,59,False
2018-08-26,0,False
2018-09-02,41,False
2018-09-09,0,False
2018-09-16,31,False
2018-09-23,0,False
2018-09-30,32,False
2018-10-07,54,False
2018-10-14,51,False
2018-10-21,45,False
2018-10-28,30,False
2018-11-04,44,False
2018-11-11,31,False
2018-11-18,30,False
2018-11-25,30,False
2018-12-02,30,False
2018-12-09,31,False
2018-12-16,47,False
2018-12-23,34,False
2018-12-30,0,False
2019-01-06,57,False
2019-01-13,28,False
2019-01-20,48,False
2019-01-27,29,False
2019-02-03,58,False
2019-02-10,30,False
2019-02-17,30,False
2019-02-24,61,False
2019-03-03,48,False
2019-03-10,57,False
2019-03-17,30,False
2019-03-24,30,False
2019-03-31,30,False
2019-04-07,0,False
2019-04-14,100,False
2019-04-21,0,False
2019-04-28,30,False
2019-05-05,58,False
2019-05-12,45,False
2019-05-19,49,False
2019-05-26,50,False
2019-06-02,29,False
2019-06-09,59,False
2019-06-16,58,False
2019-06-23,30,False
2019-06-30,29,False
2019-07-07,30,False
2019-07-14,47,False
2019-07-21,33,False
2019-07-28,41,False
2019-08-04,30,False
2019-08-11,28,False
2019-08-18,58,False
2019-08-25,42,False
2019-09-01,42,False
2019-09-08,43,False
2019-09-15,43,False
2019-09-22,0,False
2019-09-29,29,False
2019-10-06,71,False
2019-10-13,28,False
2019-10-20,56,False
2019-10-27,41,False
2019-11-03,40,False
2019-11-10,54,False
2019-11-17,64,False
2019-11-24,79,False
2019-12-01,40,False
2019-12-08,54,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,28,False
2020-01-05,25,False
2020-01-12,50,False
2020-01-19,43,False
2020-01-26,60,False
2020-02-02,38,False
2020-02-09,37,False
2020-02-16,26,False
2020-02-23,60,False
2020-03-01,52,False
2020-03-08,48,False
2020-03-15,24,False
2020-03-22,60,False
2020-03-29,47,False
2020-04-05,65,False
2020-04-12,37,False
2020-04-19,48,False
2020-04-26,23,False
2020-05-03,24,False
2020-05-10,39,False
