date,Entsorgungsbetriebe,isPartial
2018-01-07,98,False
2018-01-14,55,False
2018-01-21,33,False
2018-01-28,0,False
2018-02-04,49,False
2018-02-11,34,False
2018-02-18,0,False
2018-02-25,33,False
2018-03-04,67,False
2018-03-11,33,False
2018-03-18,0,False
2018-03-25,36,False
2018-04-01,37,False
2018-04-08,35,False
2018-04-15,36,False
2018-04-22,35,False
2018-04-29,0,False
2018-05-06,35,False
2018-05-13,34,False
2018-05-20,0,False
2018-05-27,71,False
2018-06-03,0,False
2018-06-10,35,False
2018-06-17,0,False
2018-06-24,55,False
2018-07-01,37,False
2018-07-08,0,False
2018-07-15,37,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,35,False
2018-08-12,36,False
2018-08-19,0,False
2018-08-26,34,False
2018-09-02,34,False
2018-09-09,33,False
2018-09-16,34,False
2018-09-23,35,False
2018-09-30,36,False
2018-10-07,35,False
2018-10-14,0,False
2018-10-21,33,False
2018-10-28,33,False
2018-11-04,33,False
2018-11-11,34,False
2018-11-18,67,False
2018-11-25,0,False
2018-12-02,35,False
2018-12-09,53,False
2018-12-16,36,False
2018-12-23,0,False
2018-12-30,38,False
2019-01-06,35,False
2019-01-13,0,False
2019-01-20,33,False
2019-01-27,33,False
2019-02-03,33,False
2019-02-10,100,False
2019-02-17,67,False
2019-02-24,34,False
2019-03-03,44,False
2019-03-10,0,False
2019-03-17,34,False
2019-03-24,67,False
2019-03-31,33,False
2019-04-07,56,False
2019-04-14,0,False
2019-04-21,36,False
2019-04-28,51,False
2019-05-05,0,False
2019-05-12,34,False
2019-05-19,65,False
2019-05-26,34,False
2019-06-02,49,False
2019-06-09,45,False
2019-06-16,35,False
2019-06-23,0,False
2019-06-30,35,False
2019-07-07,69,False
2019-07-14,36,False
2019-07-21,55,False
2019-07-28,0,False
2019-08-04,35,False
2019-08-11,33,False
2019-08-18,33,False
2019-08-25,33,False
2019-09-01,33,False
2019-09-08,50,False
2019-09-15,51,False
2019-09-22,33,False
2019-09-29,35,False
2019-10-06,34,False
2019-10-13,0,False
2019-10-20,32,False
2019-10-27,31,False
2019-11-03,31,False
2019-11-10,31,False
2019-11-17,31,False
2019-11-24,31,False
2019-12-01,32,False
2019-12-08,31,False
2019-12-15,64,False
2019-12-22,57,False
2019-12-29,71,False
2020-01-05,32,False
2020-01-12,30,False
2020-01-19,30,False
2020-01-26,0,False
2020-02-02,44,False
2020-02-09,58,False
2020-02-16,61,False
2020-02-23,30,False
2020-03-01,29,False
2020-03-08,42,False
2020-03-15,55,False
2020-03-22,28,False
2020-03-29,28,False
2020-04-05,0,False
2020-04-12,29,False
2020-04-19,28,False
2020-04-26,28,False
2020-05-03,47,False
2020-05-10,56,False
