date,Entsorgungsbetriebe,isPartial
2018-01-07,24,False
2018-01-14,46,False
2018-01-21,58,False
2018-01-28,23,False
2018-02-04,24,False
2018-02-11,24,False
2018-02-18,49,False
2018-02-25,24,False
2018-03-04,24,False
2018-03-11,24,False
2018-03-18,0,False
2018-03-25,26,False
2018-04-01,26,False
2018-04-08,0,False
2018-04-15,26,False
2018-04-22,24,False
2018-04-29,0,False
2018-05-06,25,False
2018-05-13,24,False
2018-05-20,25,False
2018-05-27,25,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,73,False
2018-06-24,100,False
2018-07-01,0,False
2018-07-08,50,False
2018-07-15,38,False
2018-07-22,26,False
2018-07-29,24,False
2018-08-05,24,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,24,False
2018-09-09,25,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,52,False
2018-10-07,0,False
2018-10-14,25,False
2018-10-21,24,False
2018-10-28,23,False
2018-11-04,0,False
2018-11-11,39,False
2018-11-18,0,False
2018-11-25,35,False
2018-12-02,23,False
2018-12-09,0,False
2018-12-16,24,False
2018-12-23,26,False
2018-12-30,36,False
2019-01-06,22,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,22,False
2019-02-03,22,False
2019-02-10,23,False
2019-02-17,23,False
2019-02-24,0,False
2019-03-03,23,False
2019-03-10,22,False
2019-03-17,23,False
2019-03-24,24,False
2019-03-31,0,False
2019-04-07,23,False
2019-04-14,24,False
2019-04-21,49,False
2019-04-28,35,False
2019-05-05,33,False
2019-05-12,47,False
2019-05-19,46,False
2019-05-26,35,False
2019-06-02,0,False
2019-06-09,23,False
2019-06-16,23,False
2019-06-23,24,False
2019-06-30,0,False
2019-07-07,24,False
2019-07-14,49,False
2019-07-21,25,False
2019-07-28,25,False
2019-08-04,24,False
2019-08-11,22,False
2019-08-18,23,False
2019-08-25,45,False
2019-09-01,57,False
2019-09-08,23,False
2019-09-15,35,False
2019-09-22,22,False
2019-09-29,34,False
2019-10-06,0,False
2019-10-13,22,False
2019-10-20,22,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,32,False
2019-11-17,31,False
2019-11-24,21,False
2019-12-01,0,False
2019-12-08,21,False
2019-12-15,22,False
2019-12-22,35,False
2019-12-29,22,False
2020-01-05,20,False
2020-01-12,20,False
2020-01-19,41,False
2020-01-26,20,False
2020-02-02,20,False
2020-02-09,26,False
2020-02-16,21,False
2020-02-23,39,False
2020-03-01,20,False
2020-03-08,18,False
2020-03-15,23,False
2020-03-22,51,False
2020-03-29,23,False
2020-04-05,28,False
2020-04-12,27,False
2020-04-19,53,False
2020-04-26,17,False
2020-05-03,53,False
2020-05-10,35,False
