date,Abiti su misura,isPartial
2018-01-07,69,False
2018-01-14,67,False
2018-01-21,42,False
2018-01-28,59,False
2018-02-04,41,False
2018-02-11,25,False
2018-02-18,73,False
2018-02-25,48,False
2018-03-04,65,False
2018-03-11,66,False
2018-03-18,58,False
2018-03-25,44,False
2018-04-01,27,False
2018-04-08,84,False
2018-04-15,85,False
2018-04-22,71,False
2018-04-29,26,False
2018-05-06,50,False
2018-05-13,50,False
2018-05-20,42,False
2018-05-27,51,False
2018-06-03,85,False
2018-06-10,89,False
2018-06-17,17,False
2018-06-24,76,False
2018-07-01,50,False
2018-07-08,33,False
2018-07-15,77,False
2018-07-22,60,False
2018-07-29,26,False
2018-08-05,36,False
2018-08-12,38,False
2018-08-19,37,False
2018-08-26,17,False
2018-09-02,58,False
2018-09-09,66,False
2018-09-16,65,False
2018-09-23,50,False
2018-09-30,83,False
2018-10-07,59,False
2018-10-14,34,False
2018-10-21,50,False
2018-10-28,49,False
2018-11-04,56,False
2018-11-11,51,False
2018-11-18,58,False
2018-11-25,42,False
2018-12-02,42,False
2018-12-09,34,False
2018-12-16,18,False
2018-12-23,30,False
2018-12-30,18,False
2019-01-06,68,False
2019-01-13,25,False
2019-01-20,71,False
2019-01-27,62,False
2019-02-03,63,False
2019-02-10,48,False
2019-02-17,58,False
2019-02-24,32,False
2019-03-03,42,False
2019-03-10,25,False
2019-03-17,76,False
2019-03-24,59,False
2019-03-31,76,False
2019-04-07,82,False
2019-04-14,60,False
2019-04-21,36,False
2019-04-28,83,False
2019-05-05,48,False
2019-05-12,56,False
2019-05-19,56,False
2019-05-26,31,False
2019-06-02,66,False
2019-06-09,41,False
2019-06-16,58,False
2019-06-23,26,False
2019-06-30,51,False
2019-07-07,65,False
2019-07-14,25,False
2019-07-21,26,False
2019-07-28,43,False
2019-08-04,27,False
2019-08-11,38,False
2019-08-18,27,False
2019-08-25,24,False
2019-09-01,30,False
2019-09-08,64,False
2019-09-15,46,False
2019-09-22,31,False
2019-09-29,39,False
2019-10-06,47,False
2019-10-13,63,False
2019-10-20,61,False
2019-10-27,31,False
2019-11-03,30,False
2019-11-10,30,False
2019-11-17,30,False
2019-11-24,30,False
2019-12-01,47,False
2019-12-08,31,False
2019-12-15,39,False
2019-12-22,63,False
2019-12-29,35,False
2020-01-05,46,False
2020-01-12,50,False
2020-01-19,73,False
2020-01-26,100,False
2020-02-02,64,False
2020-02-09,81,False
2020-02-16,44,False
2020-02-23,48,False
2020-03-01,68,False
2020-03-08,26,False
2020-03-15,20,False
2020-03-22,31,False
2020-03-29,25,False
2020-04-05,13,False
2020-04-12,27,False
2020-04-19,25,False
2020-04-26,0,True
