date,Einbruch,isPartial
2018-01-07,36,False
2018-01-14,48,False
2018-01-21,48,False
2018-01-28,24,False
2018-02-04,24,False
2018-02-11,24,False
2018-02-18,25,False
2018-02-25,24,False
2018-03-04,24,False
2018-03-11,35,False
2018-03-18,24,False
2018-03-25,38,False
2018-04-01,53,False
2018-04-08,73,False
2018-04-15,0,False
2018-04-22,50,False
2018-04-29,26,False
2018-05-06,0,False
2018-05-13,24,False
2018-05-20,25,False
2018-05-27,24,False
2018-06-03,0,False
2018-06-10,24,False
2018-06-17,24,False
2018-06-24,24,False
2018-07-01,35,False
2018-07-08,48,False
2018-07-15,26,False
2018-07-22,0,False
2018-07-29,29,False
2018-08-05,26,False
2018-08-12,37,False
2018-08-19,24,False
2018-08-26,0,False
2018-09-02,23,False
2018-09-09,23,False
2018-09-16,23,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,25,False
2018-10-14,25,False
2018-10-21,47,False
2018-10-28,43,False
2018-11-04,42,False
2018-11-11,82,False
2018-11-18,23,False
2018-11-25,61,False
2018-12-02,24,False
2018-12-09,49,False
2018-12-16,51,False
2018-12-23,66,False
2018-12-30,54,False
2019-01-06,32,False
2019-01-13,35,False
2019-01-20,22,False
2019-01-27,63,False
2019-02-03,61,False
2019-02-10,100,False
2019-02-17,37,False
2019-02-24,69,False
2019-03-03,21,False
2019-03-10,47,False
2019-03-17,0,False
2019-03-24,59,False
2019-03-31,0,False
2019-04-07,19,False
2019-04-14,26,False
2019-04-21,0,False
2019-04-28,21,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,46,False
2019-05-26,0,False
2019-06-02,56,False
2019-06-09,24,False
2019-06-16,24,False
2019-06-23,50,False
2019-06-30,0,False
2019-07-07,47,False
2019-07-14,39,False
2019-07-21,28,False
2019-07-28,60,False
2019-08-04,27,False
2019-08-11,25,False
2019-08-18,0,False
2019-08-25,24,False
2019-09-01,21,False
2019-09-08,23,False
2019-09-15,23,False
2019-09-22,0,False
2019-09-29,23,False
2019-10-06,24,False
2019-10-13,35,False
2019-10-20,45,False
2019-10-27,33,False
2019-11-03,33,False
2019-11-10,23,False
2019-11-17,23,False
2019-11-24,76,False
2019-12-01,67,False
2019-12-08,0,False
2019-12-15,69,False
2019-12-22,87,False
2019-12-29,0,False
2020-01-05,22,False
2020-01-12,21,False
2020-01-19,22,False
2020-01-26,21,False
2020-02-02,44,False
2020-02-09,22,False
2020-02-16,22,False
2020-02-23,21,False
2020-03-01,42,False
2020-03-08,41,False
2020-03-15,42,False
2020-03-22,51,False
2020-03-29,21,False
2020-04-05,34,False
2020-04-12,34,False
2020-04-19,21,False
2020-04-26,41,False
2020-05-03,84,False
2020-05-10,20,False
2020-05-17,55,False
2020-05-24,0,False
2020-05-31,0,False
2020-06-07,20,False
2020-06-14,21,False
2020-06-21,54,False
2020-06-28,43,False
2020-07-05,22,False
