date,Einbruch,isPartial
2018-01-07,32,False
2018-01-14,62,False
2018-01-21,62,False
2018-01-28,79,False
2018-02-04,0,False
2018-02-11,32,False
2018-02-18,32,False
2018-02-25,31,False
2018-03-04,31,False
2018-03-11,63,False
2018-03-18,32,False
2018-03-25,33,False
2018-04-01,0,False
2018-04-08,66,False
2018-04-15,33,False
2018-04-22,0,False
2018-04-29,33,False
2018-05-06,0,False
2018-05-13,31,False
2018-05-20,33,False
2018-05-27,33,False
2018-06-03,64,False
2018-06-10,0,False
2018-06-17,47,False
2018-06-24,31,False
2018-07-01,31,False
2018-07-08,0,False
2018-07-15,65,False
2018-07-22,33,False
2018-07-29,51,False
2018-08-05,65,False
2018-08-12,34,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,32,False
2018-09-09,65,False
2018-09-16,32,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,80,False
2018-10-21,0,False
2018-10-28,80,False
2018-11-04,61,False
2018-11-11,92,False
2018-11-18,59,False
2018-11-25,46,False
2018-12-02,47,False
2018-12-09,95,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,28,False
2019-01-13,28,False
2019-01-20,28,False
2019-01-27,29,False
2019-02-03,28,False
2019-02-10,29,False
2019-02-17,75,False
2019-02-24,44,False
2019-03-03,30,False
2019-03-10,28,False
2019-03-17,60,False
2019-03-24,44,False
2019-03-31,0,False
2019-04-07,30,False
2019-04-14,32,False
2019-04-21,31,False
2019-04-28,29,False
2019-05-05,28,False
2019-05-12,43,False
2019-05-19,43,False
2019-05-26,29,False
2019-06-02,30,False
2019-06-09,31,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,62,False
2019-07-07,30,False
2019-07-14,32,False
2019-07-21,33,False
2019-07-28,32,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,30,False
2019-08-25,30,False
2019-09-01,58,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,59,False
2019-10-13,60,False
2019-10-20,30,False
2019-10-27,29,False
2019-11-03,0,False
2019-11-10,29,False
2019-11-17,29,False
2019-11-24,29,False
2019-12-01,59,False
2019-12-08,59,False
2019-12-15,91,False
2019-12-22,100,False
2019-12-29,31,False
2020-01-05,27,False
2020-01-12,54,False
2020-01-19,41,False
2020-01-26,27,False
2020-02-02,0,False
2020-02-09,41,False
2020-02-16,29,False
2020-02-23,52,False
2020-03-01,27,False
2020-03-08,50,False
2020-03-15,24,False
2020-03-22,22,False
2020-03-29,0,False
2020-04-05,51,False
2020-04-12,24,False
2020-04-19,47,False
2020-04-26,0,False
2020-05-03,0,False
2020-05-10,0,False
2020-05-17,27,False
2020-05-24,24,False
2020-05-31,25,False
2020-06-07,26,False
2020-06-14,0,False
2020-06-21,26,False
2020-06-28,52,False
2020-07-05,27,False
