date,Hochzeitsdj,isPartial
2018-01-07,35,False
2018-01-14,34,False
2018-01-21,0,False
2018-01-28,67,False
2018-02-04,53,False
2018-02-11,0,False
2018-02-18,35,False
2018-02-25,35,False
2018-03-04,35,False
2018-03-11,69,False
2018-03-18,35,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,72,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,36,False
2018-06-03,35,False
2018-06-10,34,False
2018-06-17,35,False
2018-06-24,35,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,73,False
2018-07-22,36,False
2018-07-29,0,False
2018-08-05,71,False
2018-08-12,36,False
2018-08-19,36,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,36,False
2018-09-23,36,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,35,False
2018-10-21,34,False
2018-10-28,35,False
2018-11-04,0,False
2018-11-11,34,False
2018-11-18,33,False
2018-11-25,0,False
2018-12-02,34,False
2018-12-09,68,False
2018-12-16,35,False
2018-12-23,0,False
2018-12-30,73,False
2019-01-06,32,False
2019-01-13,32,False
2019-01-20,0,False
2019-01-27,64,False
2019-02-03,32,False
2019-02-10,32,False
2019-02-17,33,False
2019-02-24,51,False
2019-03-03,33,False
2019-03-10,0,False
2019-03-17,34,False
2019-03-24,67,False
2019-03-31,34,False
2019-04-07,100,False
2019-04-14,0,False
2019-04-21,35,False
2019-04-28,33,False
2019-05-05,33,False
2019-05-12,33,False
2019-05-19,33,False
2019-05-26,34,False
2019-06-02,50,False
2019-06-09,68,False
2019-06-16,34,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,33,False
2019-07-14,34,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,35,False
2019-08-11,0,False
2019-08-18,69,False
2019-08-25,34,False
2019-09-01,66,False
2019-09-08,33,False
2019-09-15,0,False
2019-09-22,32,False
2019-09-29,49,False
2019-10-06,32,False
2019-10-13,32,False
2019-10-20,32,False
2019-10-27,94,False
2019-11-03,30,False
2019-11-10,46,False
2019-11-17,0,False
2019-11-24,46,False
2019-12-01,31,False
2019-12-08,92,False
2019-12-15,31,False
2019-12-22,36,False
2019-12-29,33,False
2020-01-05,0,False
2020-01-12,29,False
2020-01-19,0,False
2020-01-26,30,False
2020-02-02,44,False
2020-02-09,29,False
2020-02-16,30,False
2020-02-23,0,False
2020-03-01,29,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,26,False
2020-03-29,26,False
2020-04-05,0,False
2020-04-12,0,True
