date,leçon anglais,isPartial
2018-01-07,26,False
2018-01-14,19,False
2018-01-21,19,False
2018-01-28,19,False
2018-02-04,19,False
2018-02-11,0,False
2018-02-18,21,False
2018-02-25,21,False
2018-03-04,26,False
2018-03-11,20,False
2018-03-18,20,False
2018-03-25,30,False
2018-04-01,21,False
2018-04-08,20,False
2018-04-15,21,False
2018-04-22,21,False
2018-04-29,20,False
2018-05-06,0,False
2018-05-13,20,False
2018-05-20,20,False
2018-05-27,19,False
2018-06-03,0,False
2018-06-10,19,False
2018-06-17,29,False
2018-06-24,20,False
2018-07-01,0,False
2018-07-08,40,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,23,False
2018-08-05,0,False
2018-08-12,25,False
2018-08-19,0,False
2018-08-26,21,False
2018-09-02,59,False
2018-09-09,45,False
2018-09-16,45,False
2018-09-23,39,False
2018-09-30,45,False
2018-10-07,32,False
2018-10-14,37,False
2018-10-21,19,False
2018-10-28,83,False
2018-11-04,29,False
2018-11-11,18,False
2018-11-18,19,False
2018-11-25,39,False
2018-12-02,38,False
2018-12-09,30,False
2018-12-16,20,False
2018-12-23,24,False
2018-12-30,0,False
2019-01-06,26,False
2019-01-13,29,False
2019-01-20,19,False
2019-01-27,38,False
2019-02-03,36,False
2019-02-10,58,False
2019-02-17,29,False
2019-02-24,20,False
2019-03-03,29,False
2019-03-10,20,False
2019-03-17,49,False
2019-03-24,31,False
2019-03-31,20,False
2019-04-07,20,False
2019-04-14,21,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,42,False
2019-05-12,21,False
2019-05-19,41,False
2019-05-26,21,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,41,False
2019-06-23,0,False
2019-06-30,20,False
2019-07-07,21,False
2019-07-14,0,False
2019-07-21,23,False
2019-07-28,0,False
2019-08-04,26,False
2019-08-11,0,False
2019-08-18,26,False
2019-08-25,0,False
2019-09-01,20,False
2019-09-08,100,False
2019-09-15,29,False
2019-09-22,38,False
2019-09-29,32,False
2019-10-06,29,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,61,False
2019-11-03,19,False
2019-11-10,29,False
2019-11-17,29,False
2019-11-24,25,False
2019-12-01,37,False
2019-12-08,19,False
2019-12-15,26,False
2019-12-22,24,False
2019-12-29,66,False
2020-01-05,37,False
2020-01-12,18,False
2020-01-19,29,False
2020-01-26,56,False
2020-02-02,38,False
2020-02-09,19,False
2020-02-16,29,False
2020-02-23,30,False
2020-03-01,18,False
2020-03-08,18,False
2020-03-15,58,False
2020-03-22,19,False
2020-03-29,57,False
2020-04-05,19,False
2020-04-12,52,False
2020-04-19,28,False
2020-04-26,24,False
2020-05-03,53,False
2020-05-10,37,False
2020-05-17,0,True
