date,leçon anglais,isPartial
2018-01-07,47,False
2018-01-14,64,False
2018-01-21,76,False
2018-01-28,66,False
2018-02-04,65,False
2018-02-11,54,False
2018-02-18,55,False
2018-02-25,24,False
2018-03-04,36,False
2018-03-11,36,False
2018-03-18,54,False
2018-03-25,49,False
2018-04-01,49,False
2018-04-08,72,False
2018-04-15,46,False
2018-04-22,19,False
2018-04-29,31,False
2018-05-06,13,False
2018-05-13,30,False
2018-05-20,75,False
2018-05-27,59,False
2018-06-03,24,False
2018-06-10,12,False
2018-06-17,49,False
2018-06-24,12,False
2018-07-01,12,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,26,False
2018-07-29,27,False
2018-08-05,13,False
2018-08-12,27,False
2018-08-19,20,False
2018-08-26,19,False
2018-09-02,49,False
2018-09-09,80,False
2018-09-16,43,False
2018-09-23,80,False
2018-09-30,43,False
2018-10-07,68,False
2018-10-14,37,False
2018-10-21,12,False
2018-10-28,56,False
2018-11-04,42,False
2018-11-11,48,False
2018-11-18,29,False
2018-11-25,89,False
2018-12-02,54,False
2018-12-09,67,False
2018-12-16,31,False
2018-12-23,14,False
2018-12-30,13,False
2019-01-06,59,False
2019-01-13,60,False
2019-01-20,58,False
2019-01-27,29,False
2019-02-03,69,False
2019-02-10,24,False
2019-02-17,55,False
2019-02-24,24,False
2019-03-03,35,False
2019-03-10,48,False
2019-03-17,80,False
2019-03-24,43,False
2019-03-31,18,False
2019-04-07,37,False
2019-04-14,25,False
2019-04-21,61,False
2019-04-28,48,False
2019-05-05,30,False
2019-05-12,54,False
2019-05-19,35,False
2019-05-26,36,False
2019-06-02,17,False
2019-06-09,52,False
2019-06-16,36,False
2019-06-23,24,False
2019-06-30,0,False
2019-07-07,12,False
2019-07-14,12,False
2019-07-21,12,False
2019-07-28,13,False
2019-08-04,13,False
2019-08-11,13,False
2019-08-18,13,False
2019-08-25,0,False
2019-09-01,40,False
2019-09-08,57,False
2019-09-15,57,False
2019-09-22,66,False
2019-09-29,44,False
2019-10-06,45,False
2019-10-13,39,False
2019-10-20,33,False
2019-10-27,33,False
2019-11-03,49,False
2019-11-10,66,False
2019-11-17,49,False
2019-11-24,85,False
2019-12-01,42,False
2019-12-08,43,False
2019-12-15,38,False
2019-12-22,18,False
2019-12-29,40,False
2020-01-05,58,False
2020-01-12,20,False
2020-01-19,63,False
2020-01-26,36,False
2020-02-02,67,False
2020-02-09,57,False
2020-02-16,16,False
2020-02-23,10,False
2020-03-01,25,False
2020-03-08,25,False
2020-03-15,100,False
2020-03-22,70,False
2020-03-29,69,False
2020-04-05,65,False
2020-04-12,57,False
2020-04-19,32,False
2020-04-26,53,False
2020-05-03,53,False
2020-05-10,19,False
2020-05-17,23,True
