date,Marmor polieren,isPartial
2018-01-07,40,False
2018-01-14,53,False
2018-01-21,53,False
2018-01-28,27,False
2018-02-04,27,False
2018-02-11,27,False
2018-02-18,27,False
2018-02-25,40,False
2018-03-04,53,False
2018-03-11,27,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,28,False
2018-04-15,42,False
2018-04-22,27,False
2018-04-29,28,False
2018-05-06,0,False
2018-05-13,27,False
2018-05-20,0,False
2018-05-27,28,False
2018-06-03,81,False
2018-06-10,39,False
2018-06-17,27,False
2018-06-24,55,False
2018-07-01,27,False
2018-07-08,27,False
2018-07-15,28,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,41,False
2018-08-12,28,False
2018-08-19,42,False
2018-08-26,55,False
2018-09-02,55,False
2018-09-09,82,False
2018-09-16,0,False
2018-09-23,28,False
2018-09-30,41,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,53,False
2018-10-28,26,False
2018-11-04,52,False
2018-11-11,53,False
2018-11-18,25,False
2018-11-25,53,False
2018-12-02,0,False
2018-12-09,26,False
2018-12-16,27,False
2018-12-23,31,False
2018-12-30,84,False
2019-01-06,25,False
2019-01-13,25,False
2019-01-20,0,False
2019-01-27,24,False
2019-02-03,25,False
2019-02-10,25,False
2019-02-17,26,False
2019-02-24,0,False
2019-03-03,100,False
2019-03-10,87,False
2019-03-17,52,False
2019-03-24,39,False
2019-03-31,39,False
2019-04-07,38,False
2019-04-14,0,False
2019-04-21,27,False
2019-04-28,0,False
2019-05-05,25,False
2019-05-12,39,False
2019-05-19,0,False
2019-05-26,53,False
2019-06-02,0,False
2019-06-09,26,False
2019-06-16,0,False
2019-06-23,26,False
2019-06-30,26,False
2019-07-07,26,False
2019-07-14,40,False
2019-07-21,28,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,39,False
2019-08-18,0,False
2019-08-25,26,False
2019-09-01,76,False
2019-09-08,0,False
2019-09-15,39,False
2019-09-22,25,False
2019-09-29,75,False
2019-10-06,50,False
2019-10-13,37,False
2019-10-20,0,False
2019-10-27,24,False
2019-11-03,23,False
2019-11-10,24,False
2019-11-17,35,False
2019-11-24,23,False
2019-12-01,47,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,78,False
2020-01-05,46,False
2020-01-12,22,False
2020-01-19,23,False
2020-01-26,34,False
2020-02-02,23,False
2020-02-09,33,False
2020-02-16,23,False
2020-02-23,22,False
2020-03-01,0,False
2020-03-08,21,False
2020-03-15,41,False
2020-03-22,61,False
2020-03-29,20,False
2020-04-05,22,False
2020-04-12,21,False
2020-04-19,82,False
2020-04-26,20,False
2020-05-03,20,False
2020-05-10,52,False
