date,addio al celibato,isPartial
2018-01-07,41,False
2018-01-14,16,False
2018-01-21,36,False
2018-01-28,16,False
2018-02-04,36,False
2018-02-11,40,False
2018-02-18,31,False
2018-02-25,31,False
2018-03-04,64,False
2018-03-11,42,False
2018-03-18,55,False
2018-03-25,37,False
2018-04-01,42,False
2018-04-08,66,False
2018-04-15,28,False
2018-04-22,58,False
2018-04-29,93,False
2018-05-06,90,False
2018-05-13,100,False
2018-05-20,81,False
2018-05-27,74,False
2018-06-03,75,False
2018-06-10,66,False
2018-06-17,44,False
2018-06-24,90,False
2018-07-01,48,False
2018-07-08,52,False
2018-07-15,53,False
2018-07-22,37,False
2018-07-29,35,False
2018-08-05,14,False
2018-08-12,21,False
2018-08-19,31,False
2018-08-26,46,False
2018-09-02,38,False
2018-09-09,38,False
2018-09-16,19,False
2018-09-23,31,False
2018-09-30,53,False
2018-10-07,15,False
2018-10-14,8,False
2018-10-21,11,False
2018-10-28,19,False
2018-11-04,11,False
2018-11-11,26,False
2018-11-18,18,False
2018-11-25,11,False
2018-12-02,11,False
2018-12-09,11,False
2018-12-16,19,False
2018-12-23,36,False
2018-12-30,9,False
2019-01-06,23,False
2019-01-13,40,False
2019-01-20,25,False
2019-01-27,32,False
2019-02-03,22,False
2019-02-10,37,False
2019-02-17,60,False
2019-02-24,46,False
2019-03-03,31,False
2019-03-10,26,False
2019-03-17,46,False
2019-03-24,35,False
2019-03-31,54,False
2019-04-07,57,False
2019-04-14,47,False
2019-04-21,47,False
2019-04-28,59,False
2019-05-05,68,False
2019-05-12,78,False
2019-05-19,48,False
2019-05-26,54,False
2019-06-02,70,False
2019-06-09,61,False
2019-06-16,39,False
2019-06-23,32,False
2019-06-30,51,False
2019-07-07,51,False
2019-07-14,48,False
2019-07-21,37,False
2019-07-28,47,False
2019-08-04,23,False
2019-08-11,37,False
2019-08-18,24,False
2019-08-25,34,False
2019-09-01,44,False
2019-09-08,45,False
2019-09-15,22,False
2019-09-22,35,False
2019-09-29,14,False
2019-10-06,22,False
2019-10-13,18,False
2019-10-20,21,False
2019-10-27,21,False
2019-11-03,14,False
2019-11-10,7,False
2019-11-17,14,False
2019-11-24,20,False
2019-12-01,14,False
2019-12-08,22,False
2019-12-15,22,False
2019-12-22,34,False
2019-12-29,0,False
2020-01-05,21,False
2020-01-12,23,False
2020-01-19,30,False
2020-01-26,33,False
2020-02-02,46,False
2020-02-09,33,False
2020-02-16,23,False
2020-02-23,15,False
2020-03-01,35,False
2020-03-08,6,False
2020-03-15,6,False
2020-03-22,0,False
2020-03-29,6,False
2020-04-05,0,False
2020-04-12,19,False
2020-04-19,18,False
2020-04-26,11,True
