date,addio al celibato,isPartial
2018-01-07,0,False
2018-01-14,26,False
2018-01-21,27,False
2018-01-28,0,False
2018-02-04,25,False
2018-02-11,0,False
2018-02-18,25,False
2018-02-25,36,False
2018-03-04,50,False
2018-03-11,50,False
2018-03-18,51,False
2018-03-25,26,False
2018-04-01,40,False
2018-04-08,38,False
2018-04-15,26,False
2018-04-22,27,False
2018-04-29,38,False
2018-05-06,61,False
2018-05-13,26,False
2018-05-20,26,False
2018-05-27,77,False
2018-06-03,76,False
2018-06-10,48,False
2018-06-17,100,False
2018-06-24,25,False
2018-07-01,37,False
2018-07-08,24,False
2018-07-15,50,False
2018-07-22,49,False
2018-07-29,38,False
2018-08-05,26,False
2018-08-12,27,False
2018-08-19,54,False
2018-08-26,38,False
2018-09-02,25,False
2018-09-09,37,False
2018-09-16,48,False
2018-09-23,49,False
2018-09-30,51,False
2018-10-07,26,False
2018-10-14,52,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,26,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,28,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,37,False
2019-01-27,48,False
2019-02-03,25,False
2019-02-10,25,False
2019-02-17,51,False
2019-02-24,26,False
2019-03-03,26,False
2019-03-10,51,False
2019-03-17,51,False
2019-03-24,52,False
2019-03-31,0,False
2019-04-07,38,False
2019-04-14,26,False
2019-04-21,52,False
2019-04-28,74,False
2019-05-05,49,False
2019-05-12,48,False
2019-05-19,24,False
2019-05-26,23,False
2019-06-02,50,False
2019-06-09,25,False
2019-06-16,53,False
2019-06-23,26,False
2019-06-30,25,False
2019-07-07,37,False
2019-07-14,25,False
2019-07-21,25,False
2019-07-28,0,False
2019-08-04,26,False
2019-08-11,0,False
2019-08-18,26,False
2019-08-25,24,False
2019-09-01,46,False
2019-09-08,0,False
2019-09-15,24,False
2019-09-22,0,False
2019-09-29,23,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,23,False
2019-10-27,0,False
2019-11-03,23,False
2019-11-10,23,False
2019-11-17,0,False
2019-11-24,23,False
2019-12-01,24,False
2019-12-08,35,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,26,False
2020-01-05,0,False
2020-01-12,44,False
2020-01-19,23,False
2020-01-26,22,False
2020-02-02,44,False
2020-02-09,23,False
2020-02-16,45,False
2020-02-23,21,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,19,False
2020-04-26,0,True
