date,addio al celibato,isPartial
2018-01-07,0,False
2018-01-14,14,False
2018-01-21,26,False
2018-01-28,13,False
2018-02-04,19,False
2018-02-11,25,False
2018-02-18,12,False
2018-02-25,23,False
2018-03-04,24,False
2018-03-11,18,False
2018-03-18,24,False
2018-03-25,32,False
2018-04-01,33,False
2018-04-08,30,False
2018-04-15,12,False
2018-04-22,26,False
2018-04-29,12,False
2018-05-06,59,False
2018-05-13,59,False
2018-05-20,72,False
2018-05-27,43,False
2018-06-03,88,False
2018-06-10,47,False
2018-06-17,47,False
2018-06-24,37,False
2018-07-01,43,False
2018-07-08,56,False
2018-07-15,76,False
2018-07-22,38,False
2018-07-29,13,False
2018-08-05,48,False
2018-08-12,65,False
2018-08-19,33,False
2018-08-26,100,False
2018-09-02,61,False
2018-09-09,36,False
2018-09-16,29,False
2018-09-23,24,False
2018-09-30,24,False
2018-10-07,24,False
2018-10-14,24,False
2018-10-21,12,False
2018-10-28,12,False
2018-11-04,11,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,24,False
2018-12-02,27,False
2018-12-09,36,False
2018-12-16,0,False
2018-12-23,16,False
2018-12-30,14,False
2019-01-06,13,False
2019-01-13,13,False
2019-01-20,12,False
2019-01-27,22,False
2019-02-03,77,False
2019-02-10,13,False
2019-02-17,20,False
2019-02-24,35,False
2019-03-03,14,False
2019-03-10,27,False
2019-03-17,14,False
2019-03-24,13,False
2019-03-31,20,False
2019-04-07,50,False
2019-04-14,52,False
2019-04-21,30,False
2019-04-28,58,False
2019-05-05,41,False
2019-05-12,44,False
2019-05-19,51,False
2019-05-26,43,False
2019-06-02,39,False
2019-06-09,58,False
2019-06-16,20,False
2019-06-23,21,False
2019-06-30,28,False
2019-07-07,32,False
2019-07-14,56,False
2019-07-21,41,False
2019-07-28,37,False
2019-08-04,48,False
2019-08-11,43,False
2019-08-18,33,False
2019-08-25,36,False
2019-09-01,43,False
2019-09-08,26,False
2019-09-15,12,False
2019-09-22,13,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,32,False
2019-10-20,13,False
2019-10-27,38,False
2019-11-03,12,False
2019-11-10,24,False
2019-11-17,25,False
2019-11-24,12,False
2019-12-01,13,False
2019-12-08,0,False
2019-12-15,13,False
2019-12-22,16,False
2019-12-29,30,False
2020-01-05,13,False
2020-01-12,12,False
2020-01-19,12,False
2020-01-26,18,False
2020-02-02,23,False
2020-02-09,30,False
2020-02-16,24,False
2020-02-23,23,False
2020-03-01,0,False
2020-03-08,11,False
2020-03-15,0,False
2020-03-22,32,False
2020-03-29,0,False
2020-04-05,11,False
2020-04-12,0,False
2020-04-19,27,False
2020-04-26,19,True
