date,addio al celibato,isPartial
2018-01-07,13,False
2018-01-14,0,False
2018-01-21,41,False
2018-01-28,20,False
2018-02-04,20,False
2018-02-11,34,False
2018-02-18,28,False
2018-02-25,13,False
2018-03-04,42,False
2018-03-11,14,False
2018-03-18,21,False
2018-03-25,51,False
2018-04-01,31,False
2018-04-08,15,False
2018-04-15,30,False
2018-04-22,31,False
2018-04-29,44,False
2018-05-06,43,False
2018-05-13,29,False
2018-05-20,29,False
2018-05-27,22,False
2018-06-03,29,False
2018-06-10,35,False
2018-06-17,57,False
2018-06-24,22,False
2018-07-01,49,False
2018-07-08,14,False
2018-07-15,36,False
2018-07-22,0,False
2018-07-29,51,False
2018-08-05,15,False
2018-08-12,0,False
2018-08-19,15,False
2018-08-26,41,False
2018-09-02,21,False
2018-09-09,14,False
2018-09-16,14,False
2018-09-23,0,False
2018-09-30,100,False
2018-10-07,0,False
2018-10-14,15,False
2018-10-21,0,False
2018-10-28,14,False
2018-11-04,14,False
2018-11-11,22,False
2018-11-18,0,False
2018-11-25,15,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,15,False
2019-01-06,14,False
2019-01-13,21,False
2019-01-20,20,False
2019-01-27,13,False
2019-02-03,13,False
2019-02-10,0,False
2019-02-17,14,False
2019-02-24,14,False
2019-03-03,69,False
2019-03-10,14,False
2019-03-17,28,False
2019-03-24,14,False
2019-03-31,14,False
2019-04-07,41,False
2019-04-14,43,False
2019-04-21,21,False
2019-04-28,40,False
2019-05-05,52,False
2019-05-12,19,False
2019-05-19,39,False
2019-05-26,25,False
2019-06-02,41,False
2019-06-09,41,False
2019-06-16,34,False
2019-06-23,35,False
2019-06-30,41,False
2019-07-07,14,False
2019-07-14,22,False
2019-07-21,29,False
2019-07-28,14,False
2019-08-04,0,False
2019-08-11,16,False
2019-08-18,29,False
2019-08-25,27,False
2019-09-01,13,False
2019-09-08,27,False
2019-09-15,27,False
2019-09-22,0,False
2019-09-29,26,False
2019-10-06,13,False
2019-10-13,13,False
2019-10-20,0,False
2019-10-27,13,False
2019-11-03,0,False
2019-11-10,13,False
2019-11-17,12,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,25,False
2020-01-12,12,False
2020-01-19,24,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,24,False
2020-02-16,18,False
2020-02-23,23,False
2020-03-01,0,False
2020-03-08,11,False
2020-03-15,11,False
2020-03-22,0,False
2020-03-29,11,False
2020-04-05,0,False
2020-04-12,11,False
2020-04-19,0,False
2020-04-26,0,True
