date,addio al celibato,isPartial
2018-01-07,48,False
2018-01-14,0,False
2018-01-21,24,False
2018-01-28,32,False
2018-02-04,16,False
2018-02-11,17,False
2018-02-18,0,False
2018-02-25,31,False
2018-03-04,16,False
2018-03-11,16,False
2018-03-18,32,False
2018-03-25,52,False
2018-04-01,18,False
2018-04-08,34,False
2018-04-15,17,False
2018-04-22,0,False
2018-04-29,34,False
2018-05-06,64,False
2018-05-13,60,False
2018-05-20,25,False
2018-05-27,35,False
2018-06-03,35,False
2018-06-10,71,False
2018-06-17,57,False
2018-06-24,67,False
2018-07-01,100,False
2018-07-08,75,False
2018-07-15,61,False
2018-07-22,52,False
2018-07-29,26,False
2018-08-05,55,False
2018-08-12,39,False
2018-08-19,59,False
2018-08-26,27,False
2018-09-02,59,False
2018-09-09,99,False
2018-09-16,40,False
2018-09-23,33,False
2018-09-30,16,False
2018-10-07,26,False
2018-10-14,17,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,16,False
2018-11-11,27,False
2018-11-18,17,False
2018-11-25,26,False
2018-12-02,0,False
2018-12-09,18,False
2018-12-16,18,False
2018-12-23,19,False
2018-12-30,18,False
2019-01-06,17,False
2019-01-13,16,False
2019-01-20,0,False
2019-01-27,16,False
2019-02-03,0,False
2019-02-10,24,False
2019-02-17,24,False
2019-02-24,16,False
2019-03-03,34,False
2019-03-10,32,False
2019-03-17,50,False
2019-03-24,17,False
2019-03-31,32,False
2019-04-07,33,False
2019-04-14,17,False
2019-04-21,52,False
2019-04-28,32,False
2019-05-05,64,False
2019-05-12,56,False
2019-05-19,55,False
2019-05-26,46,False
2019-06-02,25,False
2019-06-09,79,False
2019-06-16,25,False
2019-06-23,26,False
2019-06-30,54,False
2019-07-07,26,False
2019-07-14,52,False
2019-07-21,36,False
2019-07-28,36,False
2019-08-04,18,False
2019-08-11,40,False
2019-08-18,28,False
2019-08-25,82,False
2019-09-01,46,False
2019-09-08,32,False
2019-09-15,61,False
2019-09-22,37,False
2019-09-29,15,False
2019-10-06,16,False
2019-10-13,16,False
2019-10-20,15,False
2019-10-27,0,False
2019-11-03,14,False
2019-11-10,46,False
2019-11-17,15,False
2019-11-24,0,False
2019-12-01,16,False
2019-12-08,16,False
2019-12-15,16,False
2019-12-22,17,False
2019-12-29,16,False
2020-01-05,0,False
2020-01-12,30,False
2020-01-19,15,False
2020-01-26,15,False
2020-02-02,14,False
2020-02-09,15,False
2020-02-16,22,False
2020-02-23,14,False
2020-03-01,14,False
2020-03-08,13,False
2020-03-15,0,False
2020-03-22,18,False
2020-03-29,12,False
2020-04-05,13,False
2020-04-12,0,False
2020-04-19,24,False
2020-04-26,0,True
