date,galateo matrimonio,isPartial
2018-01-07,56,False
2018-01-14,54,False
2018-01-21,54,False
2018-01-28,18,False
2018-02-04,36,False
2018-02-11,54,False
2018-02-18,53,False
2018-02-25,52,False
2018-03-04,17,False
2018-03-11,62,False
2018-03-18,54,False
2018-03-25,57,False
2018-04-01,59,False
2018-04-08,81,False
2018-04-15,46,False
2018-04-22,48,False
2018-04-29,55,False
2018-05-06,45,False
2018-05-13,54,False
2018-05-20,100,False
2018-05-27,82,False
2018-06-03,37,False
2018-06-10,70,False
2018-06-17,72,False
2018-06-24,46,False
2018-07-01,18,False
2018-07-08,36,False
2018-07-15,37,False
2018-07-22,37,False
2018-07-29,37,False
2018-08-05,38,False
2018-08-12,41,False
2018-08-19,60,False
2018-08-26,46,False
2018-09-02,53,False
2018-09-09,80,False
2018-09-16,44,False
2018-09-23,80,False
2018-09-30,36,False
2018-10-07,36,False
2018-10-14,28,False
2018-10-21,18,False
2018-10-28,35,False
2018-11-04,26,False
2018-11-11,0,False
2018-11-18,35,False
2018-11-25,0,False
2018-12-02,18,False
2018-12-09,18,False
2018-12-16,29,False
2018-12-23,54,False
2018-12-30,30,False
2019-01-06,0,False
2019-01-13,26,False
2019-01-20,26,False
2019-01-27,25,False
2019-02-03,17,False
2019-02-10,52,False
2019-02-17,18,False
2019-02-24,44,False
2019-03-03,37,False
2019-03-10,44,False
2019-03-17,27,False
2019-03-24,55,False
2019-03-31,18,False
2019-04-07,0,False
2019-04-14,37,False
2019-04-21,58,False
2019-04-28,54,False
2019-05-05,95,False
2019-05-12,77,False
2019-05-19,77,False
2019-05-26,42,False
2019-06-02,71,False
2019-06-09,71,False
2019-06-16,81,False
2019-06-23,55,False
2019-06-30,46,False
2019-07-07,35,False
2019-07-14,18,False
2019-07-21,64,False
2019-07-28,19,False
2019-08-04,48,False
2019-08-11,20,False
2019-08-18,48,False
2019-08-25,61,False
2019-09-01,41,False
2019-09-08,43,False
2019-09-15,58,False
2019-09-22,17,False
2019-09-29,50,False
2019-10-06,17,False
2019-10-13,59,False
2019-10-20,49,False
2019-10-27,16,False
2019-11-03,32,False
2019-11-10,0,False
2019-11-17,16,False
2019-11-24,0,False
2019-12-01,17,False
2019-12-08,17,False
2019-12-15,51,False
2019-12-22,29,False
2019-12-29,28,False
2020-01-05,16,False
2020-01-12,46,False
2020-01-19,31,False
2020-01-26,23,False
2020-02-02,38,False
2020-02-09,24,False
2020-02-16,0,False
2020-02-23,15,False
2020-03-01,15,False
2020-03-08,21,False
2020-03-15,0,False
2020-03-22,13,False
2020-03-29,13,False
2020-04-05,43,False
2020-04-12,0,False
2020-04-19,14,False
2020-04-26,0,True
