date,Gas Wasser Installateur,isPartial
2018-01-07,25,False
2018-01-14,24,False
2018-01-21,36,False
2018-01-28,37,False
2018-02-04,25,False
2018-02-11,25,False
2018-02-18,25,False
2018-02-25,50,False
2018-03-04,67,False
2018-03-11,49,False
2018-03-18,38,False
2018-03-25,27,False
2018-04-01,27,False
2018-04-08,0,False
2018-04-15,52,False
2018-04-22,25,False
2018-04-29,27,False
2018-05-06,27,False
2018-05-13,26,False
2018-05-20,28,False
2018-05-27,28,False
2018-06-03,26,False
2018-06-10,50,False
2018-06-17,26,False
2018-06-24,51,False
2018-07-01,38,False
2018-07-08,25,False
2018-07-15,25,False
2018-07-22,51,False
2018-07-29,40,False
2018-08-05,28,False
2018-08-12,28,False
2018-08-19,28,False
2018-08-26,28,False
2018-09-02,66,False
2018-09-09,26,False
2018-09-16,43,False
2018-09-23,78,False
2018-09-30,26,False
2018-10-07,51,False
2018-10-14,25,False
2018-10-21,37,False
2018-10-28,50,False
2018-11-04,48,False
2018-11-11,49,False
2018-11-18,35,False
2018-11-25,36,False
2018-12-02,24,False
2018-12-09,48,False
2018-12-16,100,False
2018-12-23,72,False
2018-12-30,26,False
2019-01-06,23,False
2019-01-13,34,False
2019-01-20,34,False
2019-01-27,23,False
2019-02-03,38,False
2019-02-10,0,False
2019-02-17,63,False
2019-02-24,24,False
2019-03-03,24,False
2019-03-10,34,False
2019-03-17,36,False
2019-03-24,36,False
2019-03-31,24,False
2019-04-07,24,False
2019-04-14,26,False
2019-04-21,50,False
2019-04-28,32,False
2019-05-05,23,False
2019-05-12,0,False
2019-05-19,38,False
2019-05-26,24,False
2019-06-02,36,False
2019-06-09,25,False
2019-06-16,25,False
2019-06-23,36,False
2019-06-30,55,False
2019-07-07,23,False
2019-07-14,24,False
2019-07-21,25,False
2019-07-28,34,False
2019-08-04,35,False
2019-08-11,51,False
2019-08-18,26,False
2019-08-25,26,False
2019-09-01,25,False
2019-09-08,24,False
2019-09-15,24,False
2019-09-22,31,False
2019-09-29,32,False
2019-10-06,53,False
2019-10-13,45,False
2019-10-20,22,False
2019-10-27,38,False
2019-11-03,22,False
2019-11-10,22,False
2019-11-17,22,False
2019-11-24,32,False
2019-12-01,45,False
2019-12-08,22,False
2019-12-15,23,False
2019-12-22,0,False
2019-12-29,25,False
2020-01-05,0,False
2020-01-12,41,False
2020-01-19,32,False
2020-01-26,42,False
2020-02-02,21,False
2020-02-09,41,False
2020-02-16,43,False
2020-02-23,21,False
2020-03-01,21,False
2020-03-08,29,False
2020-03-15,75,False
2020-03-22,0,False
2020-03-29,37,False
2020-04-05,27,False
2020-04-12,79,False
2020-04-19,48,False
2020-04-26,19,False
2020-05-03,19,False
2020-05-10,19,False
