date,festa 18 anni,isPartial
2018-01-07,47,False
2018-01-14,45,False
2018-01-21,0,False
2018-01-28,44,False
2018-02-04,43,False
2018-02-11,46,False
2018-02-18,0,False
2018-02-25,43,False
2018-03-04,88,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,47,False
2018-04-01,99,False
2018-04-08,45,False
2018-04-15,48,False
2018-04-22,0,False
2018-04-29,47,False
2018-05-06,46,False
2018-05-13,47,False
2018-05-20,93,False
2018-05-27,0,False
2018-06-03,46,False
2018-06-10,45,False
2018-06-17,0,False
2018-06-24,52,False
2018-07-01,51,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,55,False
2018-08-05,61,False
2018-08-12,69,False
2018-08-19,63,False
2018-08-26,54,False
2018-09-02,0,False
2018-09-09,100,False
2018-09-16,49,False
2018-09-23,99,False
2018-09-30,100,False
2018-10-07,0,False
2018-10-14,50,False
2018-10-21,49,False
2018-10-28,49,False
2018-11-04,0,False
2018-11-11,47,False
2018-11-18,45,False
2018-11-25,0,False
2018-12-02,47,False
2018-12-09,47,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,46,False
2019-01-13,45,False
2019-01-20,64,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,85,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,46,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,45,False
2019-03-31,44,False
2019-04-07,0,False
2019-04-14,45,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,89,False
2019-05-12,44,False
2019-05-19,43,False
2019-05-26,42,False
2019-06-02,0,False
2019-06-09,43,False
2019-06-16,44,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,46,False
2019-07-14,46,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,52,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,43,False
2019-09-29,0,False
2019-10-06,44,False
2019-10-13,43,False
2019-10-20,40,False
2019-10-27,41,False
2019-11-03,41,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,42,False
2019-12-22,47,False
2019-12-29,45,False
2020-01-05,39,False
2020-01-12,0,False
2020-01-19,38,False
2020-01-26,38,False
2020-02-02,0,False
2020-02-09,76,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,36,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,35,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,True
