date,composizioni fiori finti,isPartial
2018-01-07,49,False
2018-01-14,32,False
2018-01-21,32,False
2018-01-28,16,False
2018-02-04,0,False
2018-02-11,32,False
2018-02-18,31,False
2018-02-25,23,False
2018-03-04,15,False
2018-03-11,16,False
2018-03-18,32,False
2018-03-25,51,False
2018-04-01,44,False
2018-04-08,32,False
2018-04-15,33,False
2018-04-22,17,False
2018-04-29,16,False
2018-05-06,16,False
2018-05-13,32,False
2018-05-20,16,False
2018-05-27,33,False
2018-06-03,0,False
2018-06-10,31,False
2018-06-17,32,False
2018-06-24,33,False
2018-07-01,16,False
2018-07-08,16,False
2018-07-15,41,False
2018-07-22,0,False
2018-07-29,34,False
2018-08-05,34,False
2018-08-12,27,False
2018-08-19,18,False
2018-08-26,0,False
2018-09-02,31,False
2018-09-09,16,False
2018-09-16,16,False
2018-09-23,16,False
2018-09-30,24,False
2018-10-07,32,False
2018-10-14,25,False
2018-10-21,24,False
2018-10-28,47,False
2018-11-04,15,False
2018-11-11,32,False
2018-11-18,16,False
2018-11-25,32,False
2018-12-02,16,False
2018-12-09,49,False
2018-12-16,17,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,16,False
2019-01-13,16,False
2019-01-20,30,False
2019-01-27,22,False
2019-02-03,15,False
2019-02-10,31,False
2019-02-17,40,False
2019-02-24,16,False
2019-03-03,16,False
2019-03-10,64,False
2019-03-17,32,False
2019-03-24,16,False
2019-03-31,0,False
2019-04-07,16,False
2019-04-14,16,False
2019-04-21,17,False
2019-04-28,32,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,15,False
2019-05-26,15,False
2019-06-02,16,False
2019-06-09,16,False
2019-06-16,32,False
2019-06-23,50,False
2019-06-30,0,False
2019-07-07,16,False
2019-07-14,16,False
2019-07-21,33,False
2019-07-28,25,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,29,False
2019-09-08,15,False
2019-09-15,30,False
2019-09-22,15,False
2019-09-29,15,False
2019-10-06,23,False
2019-10-13,15,False
2019-10-20,15,False
2019-10-27,29,False
2019-11-03,28,False
2019-11-10,0,False
2019-11-17,14,False
2019-11-24,100,False
2019-12-01,22,False
2019-12-08,30,False
2019-12-15,0,False
2019-12-22,17,False
2019-12-29,17,False
2020-01-05,0,False
2020-01-12,42,False
2020-01-19,21,False
2020-01-26,14,False
2020-02-02,20,False
2020-02-09,14,False
2020-02-16,21,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,13,False
2020-03-15,0,False
2020-03-22,18,False
2020-03-29,12,False
2020-04-05,13,False
2020-04-12,32,False
2020-04-19,12,False
2020-04-26,21,True
