date,Hochzeitsdeko,isPartial
2018-01-07,58,False
2018-01-14,58,False
2018-01-21,28,False
2018-01-28,56,False
2018-02-04,60,False
2018-02-11,29,False
2018-02-18,43,False
2018-02-25,57,False
2018-03-04,28,False
2018-03-11,28,False
2018-03-18,28,False
2018-03-25,30,False
2018-04-01,48,False
2018-04-08,30,False
2018-04-15,30,False
2018-04-22,59,False
2018-04-29,90,False
2018-05-06,0,False
2018-05-13,29,False
2018-05-20,32,False
2018-05-27,29,False
2018-06-03,30,False
2018-06-10,84,False
2018-06-17,28,False
2018-06-24,59,False
2018-07-01,30,False
2018-07-08,61,False
2018-07-15,32,False
2018-07-22,0,False
2018-07-29,34,False
2018-08-05,0,False
2018-08-12,33,False
2018-08-19,46,False
2018-08-26,45,False
2018-09-02,59,False
2018-09-09,87,False
2018-09-16,30,False
2018-09-23,30,False
2018-09-30,23,False
2018-10-07,0,False
2018-10-14,44,False
2018-10-21,46,False
2018-10-28,30,False
2018-11-04,42,False
2018-11-11,29,False
2018-11-18,28,False
2018-11-25,28,False
2018-12-02,0,False
2018-12-09,29,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,100,False
2019-01-06,27,False
2019-01-13,74,False
2019-01-20,0,False
2019-01-27,33,False
2019-02-03,29,False
2019-02-10,28,False
2019-02-17,42,False
2019-02-24,28,False
2019-03-03,58,False
2019-03-10,28,False
2019-03-17,29,False
2019-03-24,29,False
2019-03-31,57,False
2019-04-07,46,False
2019-04-14,32,False
2019-04-21,32,False
2019-04-28,35,False
2019-05-05,0,False
2019-05-12,57,False
2019-05-19,0,False
2019-05-26,44,False
2019-06-02,37,False
2019-06-09,58,False
2019-06-16,0,False
2019-06-23,90,False
2019-06-30,44,False
2019-07-07,87,False
2019-07-14,60,False
2019-07-21,31,False
2019-07-28,29,False
2019-08-04,88,False
2019-08-11,29,False
2019-08-18,42,False
2019-08-25,26,False
2019-09-01,27,False
2019-09-08,29,False
2019-09-15,28,False
2019-09-22,0,False
2019-09-29,25,False
2019-10-06,0,False
2019-10-13,28,False
2019-10-20,27,False
2019-10-27,0,False
2019-11-03,23,False
2019-11-10,40,False
2019-11-17,27,False
2019-11-24,26,False
2019-12-01,24,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,35,False
2019-12-29,29,False
2020-01-05,74,False
2020-01-12,38,False
2020-01-19,26,False
2020-01-26,26,False
2020-02-02,27,False
2020-02-09,70,False
2020-02-16,52,False
2020-02-23,49,False
2020-03-01,24,False
2020-03-08,67,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,25,False
2020-04-12,0,True
