date,Hochzeitsdeko,isPartial
2018-01-07,66,False
2018-01-14,33,False
2018-01-21,44,False
2018-01-28,44,False
2018-02-04,0,False
2018-02-11,46,False
2018-02-18,69,False
2018-02-25,22,False
2018-03-04,57,False
2018-03-11,22,False
2018-03-18,23,False
2018-03-25,24,False
2018-04-01,49,False
2018-04-08,60,False
2018-04-15,49,False
2018-04-22,23,False
2018-04-29,35,False
2018-05-06,48,False
2018-05-13,46,False
2018-05-20,47,False
2018-05-27,24,False
2018-06-03,0,False
2018-06-10,34,False
2018-06-17,35,False
2018-06-24,0,False
2018-07-01,48,False
2018-07-08,0,False
2018-07-15,61,False
2018-07-22,71,False
2018-07-29,23,False
2018-08-05,23,False
2018-08-12,46,False
2018-08-19,23,False
2018-08-26,46,False
2018-09-02,46,False
2018-09-09,23,False
2018-09-16,23,False
2018-09-23,47,False
2018-09-30,0,False
2018-10-07,24,False
2018-10-14,0,False
2018-10-21,23,False
2018-10-28,44,False
2018-11-04,43,False
2018-11-11,22,False
2018-11-18,22,False
2018-11-25,65,False
2018-12-02,22,False
2018-12-09,44,False
2018-12-16,23,False
2018-12-23,24,False
2018-12-30,22,False
2019-01-06,0,False
2019-01-13,21,False
2019-01-20,21,False
2019-01-27,32,False
2019-02-03,42,False
2019-02-10,65,False
2019-02-17,22,False
2019-02-24,69,False
2019-03-03,43,False
2019-03-10,42,False
2019-03-17,45,False
2019-03-24,44,False
2019-03-31,22,False
2019-04-07,22,False
2019-04-14,46,False
2019-04-21,46,False
2019-04-28,22,False
2019-05-05,42,False
2019-05-12,33,False
2019-05-19,21,False
2019-05-26,22,False
2019-06-02,43,False
2019-06-09,0,False
2019-06-16,22,False
2019-06-23,34,False
2019-06-30,23,False
2019-07-07,67,False
2019-07-14,23,False
2019-07-21,0,False
2019-07-28,23,False
2019-08-04,100,False
2019-08-11,21,False
2019-08-18,0,False
2019-08-25,22,False
2019-09-01,21,False
2019-09-08,21,False
2019-09-15,22,False
2019-09-22,21,False
2019-09-29,0,False
2019-10-06,32,False
2019-10-13,21,False
2019-10-20,41,False
2019-10-27,0,False
2019-11-03,20,False
2019-11-10,40,False
2019-11-17,40,False
2019-11-24,20,False
2019-12-01,20,False
2019-12-08,20,False
2019-12-15,21,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,19,False
2020-01-12,75,False
2020-01-19,0,False
2020-01-26,57,False
2020-02-02,56,False
2020-02-09,0,False
2020-02-16,20,False
2020-02-23,28,False
2020-03-01,19,False
2020-03-08,52,False
2020-03-15,0,False
2020-03-22,16,False
2020-03-29,49,False
2020-04-05,18,False
2020-04-12,0,True
