date,Hochzeitsdeko,isPartial
2018-01-07,60,False
2018-01-14,81,False
2018-01-21,50,False
2018-01-28,40,False
2018-02-04,40,False
2018-02-11,41,False
2018-02-18,61,False
2018-02-25,82,False
2018-03-04,61,False
2018-03-11,20,False
2018-03-18,42,False
2018-03-25,33,False
2018-04-01,68,False
2018-04-08,21,False
2018-04-15,0,False
2018-04-22,43,False
2018-04-29,44,False
2018-05-06,43,False
2018-05-13,83,False
2018-05-20,88,False
2018-05-27,32,False
2018-06-03,32,False
2018-06-10,84,False
2018-06-17,22,False
2018-06-24,0,False
2018-07-01,45,False
2018-07-08,44,False
2018-07-15,67,False
2018-07-22,34,False
2018-07-29,55,False
2018-08-05,43,False
2018-08-12,44,False
2018-08-19,63,False
2018-08-26,51,False
2018-09-02,21,False
2018-09-09,41,False
2018-09-16,53,False
2018-09-23,0,False
2018-09-30,56,False
2018-10-07,54,False
2018-10-14,21,False
2018-10-21,81,False
2018-10-28,20,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,20,False
2018-11-25,54,False
2018-12-02,43,False
2018-12-09,22,False
2018-12-16,33,False
2018-12-23,0,False
2018-12-30,23,False
2019-01-06,84,False
2019-01-13,82,False
2019-01-20,60,False
2019-01-27,60,False
2019-02-03,81,False
2019-02-10,30,False
2019-02-17,41,False
2019-02-24,21,False
2019-03-03,30,False
2019-03-10,80,False
2019-03-17,42,False
2019-03-24,21,False
2019-03-31,82,False
2019-04-07,71,False
2019-04-14,44,False
2019-04-21,76,False
2019-04-28,42,False
2019-05-05,20,False
2019-05-12,31,False
2019-05-19,60,False
2019-05-26,62,False
2019-06-02,30,False
2019-06-09,72,False
2019-06-16,63,False
2019-06-23,32,False
2019-06-30,53,False
2019-07-07,21,False
2019-07-14,65,False
2019-07-21,78,False
2019-07-28,56,False
2019-08-04,85,False
2019-08-11,60,False
2019-08-18,0,False
2019-08-25,20,False
2019-09-01,49,False
2019-09-08,20,False
2019-09-15,31,False
2019-09-22,41,False
2019-09-29,65,False
2019-10-06,51,False
2019-10-13,0,False
2019-10-20,38,False
2019-10-27,0,False
2019-11-03,38,False
2019-11-10,19,False
2019-11-17,19,False
2019-11-24,19,False
2019-12-01,0,False
2019-12-08,29,False
2019-12-15,39,False
2019-12-22,0,False
2019-12-29,22,False
2020-01-05,58,False
2020-01-12,64,False
2020-01-19,74,False
2020-01-26,72,False
2020-02-02,100,False
2020-02-09,53,False
2020-02-16,55,False
2020-02-23,45,False
2020-03-01,45,False
2020-03-08,25,False
2020-03-15,0,False
2020-03-22,51,False
2020-03-29,17,False
2020-04-05,19,False
2020-04-12,0,True
