date,Isolierung,isPartial
2018-01-07,45,False
2018-01-14,22,False
2018-01-21,22,False
2018-01-28,92,False
2018-02-04,46,False
2018-02-11,0,False
2018-02-18,23,False
2018-02-25,23,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,23,False
2018-04-01,0,False
2018-04-08,36,False
2018-04-15,24,False
2018-04-22,73,False
2018-04-29,24,False
2018-05-06,0,False
2018-05-13,70,False
2018-05-20,24,False
2018-05-27,0,False
2018-06-03,23,False
2018-06-10,23,False
2018-06-17,23,False
2018-06-24,48,False
2018-07-01,71,False
2018-07-08,25,False
2018-07-15,52,False
2018-07-22,54,False
2018-07-29,56,False
2018-08-05,77,False
2018-08-12,60,False
2018-08-19,46,False
2018-08-26,24,False
2018-09-02,0,False
2018-09-09,24,False
2018-09-16,23,False
2018-09-23,24,False
2018-09-30,48,False
2018-10-07,0,False
2018-10-14,37,False
2018-10-21,0,False
2018-10-28,34,False
2018-11-04,44,False
2018-11-11,46,False
2018-11-18,56,False
2018-11-25,44,False
2018-12-02,46,False
2018-12-09,34,False
2018-12-16,59,False
2018-12-23,0,False
2018-12-30,39,False
2019-01-06,65,False
2019-01-13,22,False
2019-01-20,33,False
2019-01-27,43,False
2019-02-03,34,False
2019-02-10,46,False
2019-02-17,23,False
2019-02-24,34,False
2019-03-03,21,False
2019-03-10,22,False
2019-03-17,23,False
2019-03-24,0,False
2019-03-31,34,False
2019-04-07,21,False
2019-04-14,25,False
2019-04-21,48,False
2019-04-28,54,False
2019-05-05,33,False
2019-05-12,45,False
2019-05-19,22,False
2019-05-26,0,False
2019-06-02,22,False
2019-06-09,33,False
2019-06-16,22,False
2019-06-23,49,False
2019-06-30,47,False
2019-07-07,24,False
2019-07-14,26,False
2019-07-21,41,False
2019-07-28,0,False
2019-08-04,38,False
2019-08-11,23,False
2019-08-18,22,False
2019-08-25,22,False
2019-09-01,32,False
2019-09-08,67,False
2019-09-15,45,False
2019-09-22,43,False
2019-09-29,22,False
2019-10-06,23,False
2019-10-13,33,False
2019-10-20,43,False
2019-10-27,0,False
2019-11-03,31,False
2019-11-10,42,False
2019-11-17,52,False
2019-11-24,31,False
2019-12-01,65,False
2019-12-08,21,False
2019-12-15,21,False
2019-12-22,26,False
2019-12-29,75,False
2020-01-05,71,False
2020-01-12,81,False
2020-01-19,20,False
2020-01-26,41,False
2020-02-02,20,False
2020-02-09,20,False
2020-02-16,31,False
2020-02-23,19,False
2020-03-01,20,False
2020-03-08,56,False
2020-03-15,19,False
2020-03-22,73,False
2020-03-29,28,False
2020-04-05,20,False
2020-04-12,20,False
2020-04-19,28,False
2020-04-26,44,False
2020-05-03,56,False
2020-05-10,19,False
2020-05-17,100,False
2020-05-24,19,False
2020-05-31,48,False
2020-06-07,46,False
2020-06-14,47,False
2020-06-21,20,False
2020-06-28,40,False
2020-07-05,52,False
