date,Bauernhaus,isPartial
2018-01-07,0,False
2018-01-14,26,False
2018-01-21,27,False
2018-01-28,27,False
2018-02-04,29,False
2018-02-11,0,False
2018-02-18,26,False
2018-02-25,26,False
2018-03-04,53,False
2018-03-11,26,False
2018-03-18,39,False
2018-03-25,27,False
2018-04-01,28,False
2018-04-08,28,False
2018-04-15,0,False
2018-04-22,82,False
2018-04-29,28,False
2018-05-06,55,False
2018-05-13,27,False
2018-05-20,41,False
2018-05-27,55,False
2018-06-03,53,False
2018-06-10,0,False
2018-06-17,79,False
2018-06-24,0,False
2018-07-01,27,False
2018-07-08,40,False
2018-07-15,27,False
2018-07-22,27,False
2018-07-29,28,False
2018-08-05,26,False
2018-08-12,55,False
2018-08-19,52,False
2018-08-26,51,False
2018-09-02,26,False
2018-09-09,26,False
2018-09-16,26,False
2018-09-23,0,False
2018-09-30,26,False
2018-10-07,26,False
2018-10-14,26,False
2018-10-21,26,False
2018-10-28,39,False
2018-11-04,50,False
2018-11-11,25,False
2018-11-18,24,False
2018-11-25,74,False
2018-12-02,0,False
2018-12-09,50,False
2018-12-16,25,False
2018-12-23,28,False
2018-12-30,0,False
2019-01-06,45,False
2019-01-13,47,False
2019-01-20,23,False
2019-01-27,48,False
2019-02-03,26,False
2019-02-10,0,False
2019-02-17,70,False
2019-02-24,35,False
2019-03-03,48,False
2019-03-10,23,False
2019-03-17,73,False
2019-03-24,24,False
2019-03-31,49,False
2019-04-07,24,False
2019-04-14,26,False
2019-04-21,100,False
2019-04-28,24,False
2019-05-05,69,False
2019-05-12,23,False
2019-05-19,46,False
2019-05-26,46,False
2019-06-02,36,False
2019-06-09,50,False
2019-06-16,49,False
2019-06-23,24,False
2019-06-30,24,False
2019-07-07,71,False
2019-07-14,37,False
2019-07-21,51,False
2019-07-28,0,False
2019-08-04,25,False
2019-08-11,48,False
2019-08-18,68,False
2019-08-25,89,False
2019-09-01,87,False
2019-09-08,23,False
2019-09-15,23,False
2019-09-22,34,False
2019-09-29,22,False
2019-10-06,0,False
2019-10-13,22,False
2019-10-20,44,False
2019-10-27,22,False
2019-11-03,22,False
2019-11-10,32,False
2019-11-17,44,False
2019-11-24,22,False
2019-12-01,22,False
2019-12-08,0,False
2019-12-15,34,False
2019-12-22,24,False
2019-12-29,44,False
2020-01-05,0,False
2020-01-12,19,False
2020-01-19,21,False
2020-01-26,20,False
2020-02-02,21,False
2020-02-09,72,False
2020-02-16,31,False
2020-02-23,0,False
2020-03-01,20,False
2020-03-08,0,False
2020-03-15,35,False
2020-03-22,34,False
2020-03-29,17,False
2020-04-05,19,False
2020-04-12,36,False
2020-04-19,18,False
2020-04-26,27,False
2020-05-03,19,False
2020-05-10,36,False
2020-05-17,30,False
2020-05-24,0,False
2020-05-31,0,False
2020-06-07,38,False
2020-06-14,55,False
2020-06-21,20,False
2020-06-28,0,False
2020-07-05,43,False
