date,Sperrmüll Abholung,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,74,False
2018-02-11,0,False
2018-02-18,49,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,48,False
2018-03-18,0,False
2018-03-25,100,False
2018-04-01,0,False
2018-04-08,50,False
2018-04-15,0,False
2018-04-22,71,False
2018-04-29,50,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,47,False
2018-06-03,0,False
2018-06-10,47,False
2018-06-17,95,False
2018-06-24,49,False
2018-07-01,51,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,46,False
2018-08-12,46,False
2018-08-19,0,False
2018-08-26,47,False
2018-09-02,47,False
2018-09-09,0,False
2018-09-16,48,False
2018-09-23,48,False
2018-09-30,51,False
2018-10-07,50,False
2018-10-14,48,False
2018-10-21,47,False
2018-10-28,93,False
2018-11-04,46,False
2018-11-11,47,False
2018-11-18,0,False
2018-11-25,47,False
2018-12-02,47,False
2018-12-09,0,False
2018-12-16,49,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,44,False
2019-01-20,45,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,46,False
2019-02-17,46,False
2019-02-24,47,False
2019-03-03,60,False
2019-03-10,0,False
2019-03-17,46,False
2019-03-24,47,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,51,False
2019-04-21,48,False
2019-04-28,47,False
2019-05-05,46,False
2019-05-12,0,False
2019-05-19,45,False
2019-05-26,46,False
2019-06-02,45,False
2019-06-09,45,False
2019-06-16,45,False
2019-06-23,94,False
2019-06-30,46,False
2019-07-07,46,False
2019-07-14,73,False
2019-07-21,51,False
2019-07-28,0,False
2019-08-04,47,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,44,False
2019-09-15,45,False
2019-09-22,88,False
2019-09-29,45,False
2019-10-06,44,False
2019-10-13,73,False
2019-10-20,44,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,42,False
2019-11-17,43,False
2019-11-24,41,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,47,False
2019-12-29,43,False
2020-01-05,79,False
2020-01-12,39,False
2020-01-19,0,False
2020-01-26,80,False
2020-02-02,0,False
2020-02-09,77,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,60,False
2020-03-08,37,False
2020-03-15,72,False
2020-03-22,37,False
2020-03-29,74,False
2020-04-05,41,False
2020-04-12,39,False
2020-04-19,0,False
2020-04-26,54,False
2020-05-03,75,False
2020-05-10,36,False
