date,Sperrmüll Abholung,isPartial
2018-01-07,33,False
2018-01-14,33,False
2018-01-21,33,False
2018-01-28,33,False
2018-02-04,100,False
2018-02-11,0,False
2018-02-18,34,False
2018-02-25,45,False
2018-03-04,34,False
2018-03-11,0,False
2018-03-18,34,False
2018-03-25,36,False
2018-04-01,0,False
2018-04-08,35,False
2018-04-15,35,False
2018-04-22,34,False
2018-04-29,35,False
2018-05-06,35,False
2018-05-13,51,False
2018-05-20,36,False
2018-05-27,36,False
2018-06-03,34,False
2018-06-10,33,False
2018-06-17,33,False
2018-06-24,32,False
2018-07-01,32,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,34,False
2018-08-05,0,False
2018-08-12,36,False
2018-08-19,36,False
2018-08-26,73,False
2018-09-02,35,False
2018-09-09,51,False
2018-09-16,34,False
2018-09-23,0,False
2018-09-30,34,False
2018-10-07,67,False
2018-10-14,0,False
2018-10-21,45,False
2018-10-28,34,False
2018-11-04,32,False
2018-11-11,0,False
2018-11-18,32,False
2018-11-25,32,False
2018-12-02,32,False
2018-12-09,32,False
2018-12-16,33,False
2018-12-23,0,False
2018-12-30,53,False
2019-01-06,62,False
2019-01-13,45,False
2019-01-20,31,False
2019-01-27,31,False
2019-02-03,0,False
2019-02-10,31,False
2019-02-17,31,False
2019-02-24,63,False
2019-03-03,32,False
2019-03-10,31,False
2019-03-17,33,False
2019-03-24,33,False
2019-03-31,0,False
2019-04-07,32,False
2019-04-14,71,False
2019-04-21,34,False
2019-04-28,48,False
2019-05-05,31,False
2019-05-12,32,False
2019-05-19,31,False
2019-05-26,0,False
2019-06-02,33,False
2019-06-09,51,False
2019-06-16,67,False
2019-06-23,0,False
2019-06-30,32,False
2019-07-07,61,False
2019-07-14,32,False
2019-07-21,66,False
2019-07-28,32,False
2019-08-04,34,False
2019-08-11,69,False
2019-08-18,46,False
2019-08-25,0,False
2019-09-01,33,False
2019-09-08,48,False
2019-09-15,32,False
2019-09-22,31,False
2019-09-29,31,False
2019-10-06,46,False
2019-10-13,30,False
2019-10-20,61,False
2019-10-27,60,False
2019-11-03,49,False
2019-11-10,60,False
2019-11-17,30,False
2019-11-24,29,False
2019-12-01,91,False
2019-12-08,0,False
2019-12-15,31,False
2019-12-22,35,False
2019-12-29,49,False
2020-01-05,58,False
2020-01-12,28,False
2020-01-19,58,False
2020-01-26,29,False
2020-02-02,47,False
2020-02-09,55,False
2020-02-16,0,False
2020-02-23,29,False
2020-03-01,65,False
2020-03-08,78,False
2020-03-15,25,False
2020-03-22,26,False
2020-03-29,43,False
2020-04-05,28,False
2020-04-12,27,False
2020-04-19,53,False
2020-04-26,35,False
2020-05-03,26,False
2020-05-10,26,False
