date,Passivhaus,isPartial
2018-01-07,33,False
2018-01-14,33,False
2018-01-21,49,False
2018-01-28,33,False
2018-02-04,45,False
2018-02-11,66,False
2018-02-18,0,False
2018-02-25,33,False
2018-03-04,49,False
2018-03-11,66,False
2018-03-18,34,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,34,False
2018-04-15,34,False
2018-04-22,49,False
2018-04-29,34,False
2018-05-06,52,False
2018-05-13,44,False
2018-05-20,69,False
2018-05-27,80,False
2018-06-03,33,False
2018-06-10,32,False
2018-06-17,32,False
2018-06-24,50,False
2018-07-01,35,False
2018-07-08,46,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,45,False
2018-08-05,31,False
2018-08-12,31,False
2018-08-19,31,False
2018-08-26,32,False
2018-09-02,97,False
2018-09-09,0,False
2018-09-16,33,False
2018-09-23,33,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,33,False
2018-10-21,42,False
2018-10-28,32,False
2018-11-04,47,False
2018-11-11,54,False
2018-11-18,63,False
2018-11-25,49,False
2018-12-02,32,False
2018-12-09,49,False
2018-12-16,33,False
2018-12-23,36,False
2018-12-30,33,False
2019-01-06,45,False
2019-01-13,61,False
2019-01-20,91,False
2019-01-27,46,False
2019-02-03,31,False
2019-02-10,63,False
2019-02-17,0,False
2019-02-24,75,False
2019-03-03,31,False
2019-03-10,71,False
2019-03-17,63,False
2019-03-24,32,False
2019-03-31,95,False
2019-04-07,50,False
2019-04-14,47,False
2019-04-21,33,False
2019-04-28,62,False
2019-05-05,62,False
2019-05-12,32,False
2019-05-19,46,False
2019-05-26,32,False
2019-06-02,30,False
2019-06-09,61,False
2019-06-16,31,False
2019-06-23,32,False
2019-06-30,62,False
2019-07-07,32,False
2019-07-14,33,False
2019-07-21,35,False
2019-07-28,33,False
2019-08-04,97,False
2019-08-11,29,False
2019-08-18,41,False
2019-08-25,40,False
2019-09-01,40,False
2019-09-08,30,False
2019-09-15,30,False
2019-09-22,100,False
2019-09-29,46,False
2019-10-06,30,False
2019-10-13,0,False
2019-10-20,30,False
2019-10-27,87,False
2019-11-03,29,False
2019-11-10,57,False
2019-11-17,29,False
2019-11-24,42,False
2019-12-01,66,False
2019-12-08,29,False
2019-12-15,29,False
2019-12-22,53,False
2019-12-29,30,False
2020-01-05,54,False
2020-01-12,27,False
2020-01-19,55,False
2020-01-26,82,False
2020-02-02,0,False
2020-02-09,40,False
2020-02-16,28,False
2020-02-23,27,False
2020-03-01,27,False
2020-03-08,25,False
2020-03-15,25,False
2020-03-22,0,False
2020-03-29,25,False
2020-04-05,55,False
2020-04-12,27,False
2020-04-19,0,False
2020-04-26,25,False
2020-05-03,0,False
2020-05-10,50,False
