date,Passivhaus,isPartial
2018-01-07,40,False
2018-01-14,40,False
2018-01-21,20,False
2018-01-28,100,False
2018-02-04,42,False
2018-02-11,31,False
2018-02-18,41,False
2018-02-25,20,False
2018-03-04,41,False
2018-03-11,20,False
2018-03-18,41,False
2018-03-25,22,False
2018-04-01,54,False
2018-04-08,20,False
2018-04-15,42,False
2018-04-22,20,False
2018-04-29,32,False
2018-05-06,0,False
2018-05-13,60,False
2018-05-20,21,False
2018-05-27,0,False
2018-06-03,31,False
2018-06-10,39,False
2018-06-17,39,False
2018-06-24,20,False
2018-07-01,60,False
2018-07-08,20,False
2018-07-15,21,False
2018-07-22,21,False
2018-07-29,21,False
2018-08-05,22,False
2018-08-12,22,False
2018-08-19,42,False
2018-08-26,21,False
2018-09-02,21,False
2018-09-09,21,False
2018-09-16,21,False
2018-09-23,42,False
2018-09-30,21,False
2018-10-07,21,False
2018-10-14,0,False
2018-10-21,31,False
2018-10-28,0,False
2018-11-04,59,False
2018-11-11,40,False
2018-11-18,39,False
2018-11-25,20,False
2018-12-02,29,False
2018-12-09,29,False
2018-12-16,20,False
2018-12-23,0,False
2018-12-30,32,False
2019-01-06,38,False
2019-01-13,37,False
2019-01-20,47,False
2019-01-27,18,False
2019-02-03,19,False
2019-02-10,38,False
2019-02-17,19,False
2019-02-24,20,False
2019-03-03,19,False
2019-03-10,37,False
2019-03-17,29,False
2019-03-24,0,False
2019-03-31,38,False
2019-04-07,40,False
2019-04-14,21,False
2019-04-21,21,False
2019-04-28,0,False
2019-05-05,38,False
2019-05-12,58,False
2019-05-19,19,False
2019-05-26,40,False
2019-06-02,19,False
2019-06-09,59,False
2019-06-16,20,False
2019-06-23,30,False
2019-06-30,29,False
2019-07-07,19,False
2019-07-14,71,False
2019-07-21,44,False
2019-07-28,21,False
2019-08-04,43,False
2019-08-11,31,False
2019-08-18,30,False
2019-08-25,58,False
2019-09-01,29,False
2019-09-08,0,False
2019-09-15,19,False
2019-09-22,38,False
2019-09-29,0,False
2019-10-06,56,False
2019-10-13,0,False
2019-10-20,19,False
2019-10-27,19,False
2019-11-03,18,False
2019-11-10,27,False
2019-11-17,53,False
2019-11-24,43,False
2019-12-01,27,False
2019-12-08,45,False
2019-12-15,0,False
2019-12-22,42,False
2019-12-29,20,False
2020-01-05,34,False
2020-01-12,17,False
2020-01-19,26,False
2020-01-26,17,False
2020-02-02,25,False
2020-02-09,16,False
2020-02-16,17,False
2020-02-23,25,False
2020-03-01,33,False
2020-03-08,16,False
2020-03-15,0,False
2020-03-22,15,False
2020-03-29,23,False
2020-04-05,17,False
2020-04-12,32,False
2020-04-19,31,False
2020-04-26,15,False
2020-05-03,16,False
2020-05-10,31,False
