date,fabricant de portail,isPartial
2018-01-07,56,False
2018-01-14,55,False
2018-01-21,56,False
2018-01-28,28,False
2018-02-04,28,False
2018-02-11,38,False
2018-02-18,39,False
2018-02-25,28,False
2018-03-04,28,False
2018-03-11,100,False
2018-03-18,71,False
2018-03-25,43,False
2018-04-01,29,False
2018-04-08,29,False
2018-04-15,31,False
2018-04-22,29,False
2018-04-29,49,False
2018-05-06,61,False
2018-05-13,28,False
2018-05-20,49,False
2018-05-27,56,False
2018-06-03,28,False
2018-06-10,55,False
2018-06-17,29,False
2018-06-24,29,False
2018-07-01,28,False
2018-07-08,73,False
2018-07-15,46,False
2018-07-22,46,False
2018-07-29,47,False
2018-08-05,63,False
2018-08-12,75,False
2018-08-19,93,False
2018-08-26,49,False
2018-09-02,59,False
2018-09-09,48,False
2018-09-16,29,False
2018-09-23,59,False
2018-09-30,29,False
2018-10-07,58,False
2018-10-14,29,False
2018-10-21,29,False
2018-10-28,73,False
2018-11-04,47,False
2018-11-11,28,False
2018-11-18,56,False
2018-11-25,28,False
2018-12-02,28,False
2018-12-09,43,False
2018-12-16,59,False
2018-12-23,33,False
2018-12-30,31,False
2019-01-06,28,False
2019-01-13,56,False
2019-01-20,41,False
2019-01-27,27,False
2019-02-03,55,False
2019-02-10,0,False
2019-02-17,29,False
2019-02-24,29,False
2019-03-03,42,False
2019-03-10,42,False
2019-03-17,29,False
2019-03-24,39,False
2019-03-31,43,False
2019-04-07,58,False
2019-04-14,59,False
2019-04-21,58,False
2019-04-28,47,False
2019-05-05,57,False
2019-05-12,56,False
2019-05-19,46,False
2019-05-26,28,False
2019-06-02,35,False
2019-06-09,27,False
2019-06-16,28,False
2019-06-23,41,False
2019-06-30,70,False
2019-07-07,84,False
2019-07-14,29,False
2019-07-21,0,False
2019-07-28,45,False
2019-08-04,0,False
2019-08-11,60,False
2019-08-18,45,False
2019-08-25,56,False
2019-09-01,36,False
2019-09-08,27,False
2019-09-15,27,False
2019-09-22,26,False
2019-09-29,65,False
2019-10-06,39,False
2019-10-13,26,False
2019-10-20,26,False
2019-10-27,26,False
2019-11-03,25,False
2019-11-10,26,False
2019-11-17,39,False
2019-11-24,25,False
2019-12-01,50,False
2019-12-08,25,False
2019-12-15,38,False
2019-12-22,28,False
2019-12-29,27,False
2020-01-05,75,False
2020-01-12,48,False
2020-01-19,41,False
2020-01-26,32,False
2020-02-02,61,False
2020-02-09,25,False
2020-02-16,25,False
2020-02-23,48,False
2020-03-01,55,False
2020-03-08,47,False
2020-03-15,23,False
2020-03-22,22,False
2020-03-29,22,False
2020-04-05,22,False
2020-04-12,0,False
2020-04-19,22,False
2020-04-26,56,False
2020-05-03,63,False
2020-05-10,55,False
2020-05-17,55,True
