date,Baumschnitt,isPartial
2018-01-07,15,False
2018-01-14,15,False
2018-01-21,15,False
2018-01-28,15,False
2018-02-04,39,False
2018-02-11,15,False
2018-02-18,15,False
2018-02-25,60,False
2018-03-04,37,False
2018-03-11,37,False
2018-03-18,45,False
2018-03-25,48,False
2018-04-01,66,False
2018-04-08,81,False
2018-04-15,24,False
2018-04-22,16,False
2018-04-29,33,False
2018-05-06,16,False
2018-05-13,31,False
2018-05-20,32,False
2018-05-27,16,False
2018-06-03,31,False
2018-06-10,30,False
2018-06-17,46,False
2018-06-24,38,False
2018-07-01,16,False
2018-07-08,31,False
2018-07-15,24,False
2018-07-22,16,False
2018-07-29,33,False
2018-08-05,48,False
2018-08-12,34,False
2018-08-19,32,False
2018-08-26,31,False
2018-09-02,39,False
2018-09-09,24,False
2018-09-16,16,False
2018-09-23,24,False
2018-09-30,31,False
2018-10-07,55,False
2018-10-14,31,False
2018-10-21,40,False
2018-10-28,48,False
2018-11-04,38,False
2018-11-11,31,False
2018-11-18,22,False
2018-11-25,0,False
2018-12-02,15,False
2018-12-09,23,False
2018-12-16,16,False
2018-12-23,18,False
2018-12-30,47,False
2019-01-06,21,False
2019-01-13,28,False
2019-01-20,28,False
2019-01-27,28,False
2019-02-03,29,False
2019-02-10,29,False
2019-02-17,100,False
2019-02-24,36,False
2019-03-03,100,False
2019-03-10,35,False
2019-03-17,74,False
2019-03-24,37,False
2019-03-31,15,False
2019-04-07,37,False
2019-04-14,57,False
2019-04-21,24,False
2019-04-28,15,False
2019-05-05,43,False
2019-05-12,0,False
2019-05-19,29,False
2019-05-26,14,False
2019-06-02,0,False
2019-06-09,38,False
2019-06-16,15,False
2019-06-23,30,False
2019-06-30,0,False
2019-07-07,30,False
2019-07-14,31,False
2019-07-21,24,False
2019-07-28,15,False
2019-08-04,24,False
2019-08-11,23,False
2019-08-18,22,False
2019-08-25,0,False
2019-09-01,50,False
2019-09-08,22,False
2019-09-15,22,False
2019-09-22,29,False
2019-09-29,21,False
2019-10-06,14,False
2019-10-13,28,False
2019-10-20,28,False
2019-10-27,21,False
2019-11-03,34,False
2019-11-10,34,False
2019-11-17,28,False
2019-11-24,27,False
2019-12-01,14,False
2019-12-08,0,False
2019-12-15,14,False
2019-12-22,31,False
2019-12-29,14,False
2020-01-05,20,False
2020-01-12,12,False
2020-01-19,19,False
2020-01-26,13,False
2020-02-02,38,False
2020-02-09,32,False
2020-02-16,51,False
2020-02-23,54,False
2020-03-01,55,False
2020-03-08,36,False
2020-03-15,48,False
2020-03-22,35,False
2020-03-29,35,False
2020-04-05,26,False
2020-04-12,50,False
2020-04-19,43,False
2020-04-26,67,False
2020-05-03,12,False
2020-05-10,19,False
2020-05-17,27,False
2020-05-24,62,False
2020-05-31,31,False
2020-06-07,31,False
2020-06-14,24,False
2020-06-21,13,False
2020-06-28,13,False
2020-07-05,13,False
