date,Bauschutt entsorgen,isPartial
2018-01-07,0,False
2018-01-14,47,False
2018-01-21,94,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,48,False
2018-02-18,48,False
2018-02-25,70,False
2018-03-04,95,False
2018-03-11,0,False
2018-03-18,48,False
2018-03-25,49,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,50,False
2018-04-22,47,False
2018-04-29,0,False
2018-05-06,50,False
2018-05-13,0,False
2018-05-20,49,False
2018-05-27,46,False
2018-06-03,48,False
2018-06-10,69,False
2018-06-17,47,False
2018-06-24,48,False
2018-07-01,74,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,50,False
2018-07-29,48,False
2018-08-05,0,False
2018-08-12,45,False
2018-08-19,45,False
2018-08-26,0,False
2018-09-02,47,False
2018-09-09,93,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,50,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,46,False
2018-10-28,46,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,46,False
2018-12-02,0,False
2018-12-09,47,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,48,False
2019-01-06,0,False
2019-01-13,43,False
2019-01-20,44,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,45,False
2019-02-17,45,False
2019-02-24,0,False
2019-03-03,44,False
2019-03-10,43,False
2019-03-17,45,False
2019-03-24,0,False
2019-03-31,46,False
2019-04-07,48,False
2019-04-14,76,False
2019-04-21,47,False
2019-04-28,46,False
2019-05-05,45,False
2019-05-12,45,False
2019-05-19,45,False
2019-05-26,46,False
2019-06-02,44,False
2019-06-09,66,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,100,False
2019-07-28,0,False
2019-08-04,46,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,87,False
2019-09-01,43,False
2019-09-08,86,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,43,False
2019-10-20,43,False
2019-10-27,63,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,42,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,41,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,42,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,40,False
2020-01-26,59,False
2020-02-02,39,False
2020-02-09,77,False
2020-02-16,39,False
2020-02-23,0,False
2020-03-01,39,False
2020-03-08,36,False
2020-03-15,37,False
2020-03-22,37,False
2020-03-29,36,False
2020-04-05,80,False
2020-04-12,51,False
2020-04-19,73,False
2020-04-26,35,False
2020-05-03,36,False
2020-05-10,36,False
