date,tapezieren,isPartial
2018-01-07,51,False
2018-01-14,76,False
2018-01-21,62,False
2018-01-28,55,False
2018-02-04,60,False
2018-02-11,65,False
2018-02-18,61,False
2018-02-25,51,False
2018-03-04,28,False
2018-03-11,60,False
2018-03-18,72,False
2018-03-25,41,False
2018-04-01,77,False
2018-04-08,35,False
2018-04-15,31,False
2018-04-22,55,False
2018-04-29,66,False
2018-05-06,35,False
2018-05-13,38,False
2018-05-20,40,False
2018-05-27,30,False
2018-06-03,29,False
2018-06-10,53,False
2018-06-17,54,False
2018-06-24,36,False
2018-07-01,26,False
2018-07-08,46,False
2018-07-15,62,False
2018-07-22,51,False
2018-07-29,70,False
2018-08-05,37,False
2018-08-12,38,False
2018-08-19,36,False
2018-08-26,57,False
2018-09-02,35,False
2018-09-09,33,False
2018-09-16,48,False
2018-09-23,53,False
2018-09-30,82,False
2018-10-07,29,False
2018-10-14,33,False
2018-10-21,37,False
2018-10-28,51,False
2018-11-04,50,False
2018-11-11,33,False
2018-11-18,47,False
2018-11-25,59,False
2018-12-02,34,False
2018-12-09,30,False
2018-12-16,40,False
2018-12-23,17,False
2018-12-30,100,False
2019-01-06,82,False
2019-01-13,28,False
2019-01-20,55,False
2019-01-27,35,False
2019-02-03,64,False
2019-02-10,88,False
2019-02-17,33,False
2019-02-24,71,False
2019-03-03,33,False
2019-03-10,50,False
2019-03-17,52,False
2019-03-24,56,False
2019-03-31,46,False
2019-04-07,28,False
2019-04-14,46,False
2019-04-21,25,False
2019-04-28,62,False
2019-05-05,32,False
2019-05-12,33,False
2019-05-19,23,False
2019-05-26,67,False
2019-06-02,55,False
2019-06-09,85,False
2019-06-16,72,False
2019-06-23,44,False
2019-06-30,54,False
2019-07-07,53,False
2019-07-14,70,False
2019-07-21,46,False
2019-07-28,72,False
2019-08-04,78,False
2019-08-11,46,False
2019-08-18,37,False
2019-08-25,42,False
2019-09-01,41,False
2019-09-08,46,False
2019-09-15,53,False
2019-09-22,65,False
2019-09-29,88,False
2019-10-06,47,False
2019-10-13,58,False
2019-10-20,35,False
2019-10-27,48,False
2019-11-03,52,False
2019-11-10,39,False
2019-11-17,62,False
2019-11-24,73,False
2019-12-01,61,False
2019-12-08,57,False
2019-12-15,36,False
2019-12-22,53,False
2019-12-29,49,False
2020-01-05,53,False
2020-01-12,67,False
2020-01-19,72,False
2020-01-26,54,False
2020-02-02,87,False
2020-02-09,41,False
2020-02-16,47,False
2020-02-23,33,False
2020-03-01,25,False
2020-03-08,46,False
2020-03-15,58,False
2020-03-22,51,False
2020-03-29,66,False
2020-04-05,81,False
2020-04-12,61,False
2020-04-19,71,False
2020-04-26,43,False
2020-05-03,71,False
2020-05-10,47,False
2020-05-17,38,True
