date,tapezieren,isPartial
2018-01-07,44,False
2018-01-14,54,False
2018-01-21,66,False
2018-01-28,66,False
2018-02-04,68,False
2018-02-11,33,False
2018-02-18,50,False
2018-02-25,66,False
2018-03-04,34,False
2018-03-11,68,False
2018-03-18,34,False
2018-03-25,73,False
2018-04-01,56,False
2018-04-08,36,False
2018-04-15,60,False
2018-04-22,36,False
2018-04-29,0,False
2018-05-06,77,False
2018-05-13,36,False
2018-05-20,37,False
2018-05-27,0,False
2018-06-03,73,False
2018-06-10,85,False
2018-06-17,34,False
2018-06-24,0,False
2018-07-01,36,False
2018-07-08,83,False
2018-07-15,74,False
2018-07-22,36,False
2018-07-29,36,False
2018-08-05,0,False
2018-08-12,34,False
2018-08-19,51,False
2018-08-26,70,False
2018-09-02,52,False
2018-09-09,35,False
2018-09-16,34,False
2018-09-23,34,False
2018-09-30,36,False
2018-10-07,72,False
2018-10-14,45,False
2018-10-21,33,False
2018-10-28,63,False
2018-11-04,32,False
2018-11-11,64,False
2018-11-18,0,False
2018-11-25,33,False
2018-12-02,32,False
2018-12-09,32,False
2018-12-16,33,False
2018-12-23,0,False
2018-12-30,49,False
2019-01-06,30,False
2019-01-13,45,False
2019-01-20,30,False
2019-01-27,49,False
2019-02-03,100,False
2019-02-10,48,False
2019-02-17,62,False
2019-02-24,73,False
2019-03-03,30,False
2019-03-10,80,False
2019-03-17,85,False
2019-03-24,0,False
2019-03-31,43,False
2019-04-07,47,False
2019-04-14,0,False
2019-04-21,50,False
2019-04-28,31,False
2019-05-05,70,False
2019-05-12,47,False
2019-05-19,51,False
2019-05-26,32,False
2019-06-02,31,False
2019-06-09,32,False
2019-06-16,47,False
2019-06-23,32,False
2019-06-30,63,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,52,False
2019-07-28,56,False
2019-08-04,33,False
2019-08-11,94,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,92,False
2019-09-08,31,False
2019-09-15,0,False
2019-09-22,60,False
2019-09-29,30,False
2019-10-06,31,False
2019-10-13,40,False
2019-10-20,58,False
2019-10-27,42,False
2019-11-03,41,False
2019-11-10,56,False
2019-11-17,41,False
2019-11-24,42,False
2019-12-01,43,False
2019-12-08,0,False
2019-12-15,43,False
2019-12-22,0,False
2019-12-29,29,False
2020-01-05,35,False
2020-01-12,64,False
2020-01-19,0,False
2020-01-26,40,False
2020-02-02,52,False
2020-02-09,54,False
2020-02-16,53,False
2020-02-23,51,False
2020-03-01,26,False
2020-03-08,0,False
2020-03-15,24,False
2020-03-22,58,False
2020-03-29,34,False
2020-04-05,44,False
2020-04-12,25,False
2020-04-19,24,False
2020-04-26,47,False
2020-05-03,48,False
2020-05-10,36,False
2020-05-17,58,True
