date,Montage vidéo,isPartial
2018-01-07,49,False
2018-01-14,21,False
2018-01-21,42,False
2018-01-28,43,False
2018-02-04,43,False
2018-02-11,29,False
2018-02-18,44,False
2018-02-25,22,False
2018-03-04,21,False
2018-03-11,41,False
2018-03-18,28,False
2018-03-25,28,False
2018-04-01,42,False
2018-04-08,21,False
2018-04-15,45,False
2018-04-22,65,False
2018-04-29,34,False
2018-05-06,22,False
2018-05-13,21,False
2018-05-20,22,False
2018-05-27,52,False
2018-06-03,42,False
2018-06-10,41,False
2018-06-17,35,False
2018-06-24,32,False
2018-07-01,32,False
2018-07-08,0,False
2018-07-15,24,False
2018-07-22,48,False
2018-07-29,40,False
2018-08-05,25,False
2018-08-12,50,False
2018-08-19,48,False
2018-08-26,45,False
2018-09-02,44,False
2018-09-09,22,False
2018-09-16,32,False
2018-09-23,43,False
2018-09-30,36,False
2018-10-07,44,False
2018-10-14,22,False
2018-10-21,22,False
2018-10-28,32,False
2018-11-04,21,False
2018-11-11,35,False
2018-11-18,0,False
2018-11-25,20,False
2018-12-02,41,False
2018-12-09,21,False
2018-12-16,22,False
2018-12-23,24,False
2018-12-30,46,False
2019-01-06,0,False
2019-01-13,20,False
2019-01-20,19,False
2019-01-27,38,False
2019-02-03,100,False
2019-02-10,0,False
2019-02-17,22,False
2019-02-24,21,False
2019-03-03,33,False
2019-03-10,31,False
2019-03-17,21,False
2019-03-24,42,False
2019-03-31,20,False
2019-04-07,40,False
2019-04-14,22,False
2019-04-21,34,False
2019-04-28,0,False
2019-05-05,35,False
2019-05-12,18,False
2019-05-19,37,False
2019-05-26,18,False
2019-06-02,35,False
2019-06-09,37,False
2019-06-16,20,False
2019-06-23,20,False
2019-06-30,19,False
2019-07-07,20,False
2019-07-14,20,False
2019-07-21,31,False
2019-07-28,20,False
2019-08-04,0,False
2019-08-11,23,False
2019-08-18,23,False
2019-08-25,42,False
2019-09-01,30,False
2019-09-08,42,False
2019-09-15,21,False
2019-09-22,27,False
2019-09-29,17,False
2019-10-06,25,False
2019-10-13,17,False
2019-10-20,17,False
2019-10-27,29,False
2019-11-03,17,False
2019-11-10,16,False
2019-11-17,17,False
2019-11-24,24,False
2019-12-01,18,False
2019-12-08,0,False
2019-12-15,37,False
2019-12-22,30,False
2019-12-29,19,False
2020-01-05,17,False
2020-01-12,21,False
2020-01-19,33,False
2020-01-26,16,False
2020-02-02,32,False
2020-02-09,32,False
2020-02-16,17,False
2020-02-23,25,False
2020-03-01,42,False
2020-03-08,16,False
2020-03-15,29,False
2020-03-22,43,False
2020-03-29,48,False
2020-04-05,63,False
2020-04-12,54,False
2020-04-19,54,False
2020-04-26,32,False
2020-05-03,32,False
2020-05-10,22,False
2020-05-17,47,True
