date,Montage vidéo,isPartial
2018-01-07,19,False
2018-01-14,25,False
2018-01-21,37,False
2018-01-28,38,False
2018-02-04,25,False
2018-02-11,25,False
2018-02-18,25,False
2018-02-25,40,False
2018-03-04,37,False
2018-03-11,25,False
2018-03-18,29,False
2018-03-25,21,False
2018-04-01,13,False
2018-04-08,40,False
2018-04-15,14,False
2018-04-22,33,False
2018-04-29,19,False
2018-05-06,32,False
2018-05-13,45,False
2018-05-20,18,False
2018-05-27,22,False
2018-06-03,26,False
2018-06-10,31,False
2018-06-17,22,False
2018-06-24,22,False
2018-07-01,26,False
2018-07-08,27,False
2018-07-15,19,False
2018-07-22,14,False
2018-07-29,14,False
2018-08-05,19,False
2018-08-12,29,False
2018-08-19,19,False
2018-08-26,18,False
2018-09-02,49,False
2018-09-09,27,False
2018-09-16,13,False
2018-09-23,27,False
2018-09-30,20,False
2018-10-07,18,False
2018-10-14,32,False
2018-10-21,41,False
2018-10-28,33,False
2018-11-04,26,False
2018-11-11,31,False
2018-11-18,25,False
2018-11-25,17,False
2018-12-02,21,False
2018-12-09,13,False
2018-12-16,18,False
2018-12-23,15,False
2018-12-30,18,False
2019-01-06,21,False
2019-01-13,25,False
2019-01-20,12,False
2019-01-27,36,False
2019-02-03,25,False
2019-02-10,25,False
2019-02-17,52,False
2019-02-24,19,False
2019-03-03,24,False
2019-03-10,12,False
2019-03-17,26,False
2019-03-24,21,False
2019-03-31,12,False
2019-04-07,20,False
2019-04-14,25,False
2019-04-21,33,False
2019-04-28,18,False
2019-05-05,20,False
2019-05-12,32,False
2019-05-19,24,False
2019-05-26,19,False
2019-06-02,12,False
2019-06-09,23,False
2019-06-16,25,False
2019-06-23,12,False
2019-06-30,24,False
2019-07-07,12,False
2019-07-14,18,False
2019-07-21,25,False
2019-07-28,13,False
2019-08-04,30,False
2019-08-11,14,False
2019-08-18,18,False
2019-08-25,38,False
2019-09-01,12,False
2019-09-08,18,False
2019-09-15,12,False
2019-09-22,27,False
2019-09-29,12,False
2019-10-06,28,False
2019-10-13,24,False
2019-10-20,29,False
2019-10-27,22,False
2019-11-03,22,False
2019-11-10,17,False
2019-11-17,11,False
2019-11-24,11,False
2019-12-01,25,False
2019-12-08,32,False
2019-12-15,11,False
2019-12-22,20,False
2019-12-29,23,False
2020-01-05,11,False
2020-01-12,21,False
2020-01-19,14,False
2020-01-26,21,False
2020-02-02,31,False
2020-02-09,34,False
2020-02-16,17,False
2020-02-23,20,False
2020-03-01,20,False
2020-03-08,27,False
2020-03-15,34,False
2020-03-22,47,False
2020-03-29,60,False
2020-04-05,64,False
2020-04-12,60,False
2020-04-19,100,False
2020-04-26,73,False
2020-05-03,37,False
2020-05-10,32,False
2020-05-17,36,True
