date,traiteur domicile,isPartial
2018-01-07,29,False
2018-01-14,57,False
2018-01-21,29,False
2018-01-28,43,False
2018-02-04,58,False
2018-02-11,57,False
2018-02-18,43,False
2018-02-25,0,False
2018-03-04,29,False
2018-03-11,0,False
2018-03-18,29,False
2018-03-25,30,False
2018-04-01,59,False
2018-04-08,56,False
2018-04-15,31,False
2018-04-22,91,False
2018-04-29,29,False
2018-05-06,0,False
2018-05-13,57,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,29,False
2018-06-10,37,False
2018-06-17,29,False
2018-06-24,29,False
2018-07-01,29,False
2018-07-08,28,False
2018-07-15,29,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,28,False
2018-08-12,56,False
2018-08-19,0,False
2018-08-26,29,False
2018-09-02,68,False
2018-09-09,29,False
2018-09-16,60,False
2018-09-23,59,False
2018-09-30,30,False
2018-10-07,60,False
2018-10-14,0,False
2018-10-21,32,False
2018-10-28,0,False
2018-11-04,29,False
2018-11-11,0,False
2018-11-18,29,False
2018-11-25,0,False
2018-12-02,31,False
2018-12-09,31,False
2018-12-16,31,False
2018-12-23,71,False
2018-12-30,0,False
2019-01-06,61,False
2019-01-13,0,False
2019-01-20,29,False
2019-01-27,0,False
2019-02-03,30,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,30,False
2019-03-03,0,False
2019-03-10,30,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,30,False
2019-04-14,30,False
2019-04-21,28,False
2019-04-28,0,False
2019-05-05,29,False
2019-05-12,29,False
2019-05-19,56,False
2019-05-26,28,False
2019-06-02,40,False
2019-06-09,54,False
2019-06-16,55,False
2019-06-23,27,False
2019-06-30,27,False
2019-07-07,41,False
2019-07-14,28,False
2019-07-21,28,False
2019-07-28,43,False
2019-08-04,56,False
2019-08-11,25,False
2019-08-18,0,False
2019-08-25,25,False
2019-09-01,40,False
2019-09-08,27,False
2019-09-15,27,False
2019-09-22,27,False
2019-09-29,54,False
2019-10-06,41,False
2019-10-13,27,False
2019-10-20,27,False
2019-10-27,27,False
2019-11-03,27,False
2019-11-10,26,False
2019-11-17,26,False
2019-11-24,26,False
2019-12-01,26,False
2019-12-08,26,False
2019-12-15,51,False
2019-12-22,58,False
2019-12-29,41,False
2020-01-05,0,False
2020-01-12,49,False
2020-01-19,100,False
2020-01-26,25,False
2020-02-02,25,False
2020-02-09,37,False
2020-02-16,25,False
2020-02-23,48,False
2020-03-01,47,False
2020-03-08,24,False
2020-03-15,0,False
2020-03-22,21,False
2020-03-29,21,False
2020-04-05,0,False
2020-04-12,43,False
2020-04-19,20,False
2020-04-26,40,False
2020-05-03,20,False
2020-05-10,0,False
2020-05-17,0,True
