date,Dachbeschichtung,isPartial
2018-01-07,26,False
2018-01-14,25,False
2018-01-21,26,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,39,False
2018-02-18,0,False
2018-02-25,25,False
2018-03-04,52,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,55,False
2018-04-01,27,False
2018-04-08,0,False
2018-04-15,40,False
2018-04-22,25,False
2018-04-29,26,False
2018-05-06,27,False
2018-05-13,38,False
2018-05-20,0,False
2018-05-27,51,False
2018-06-03,26,False
2018-06-10,25,False
2018-06-17,25,False
2018-06-24,0,False
2018-07-01,25,False
2018-07-08,50,False
2018-07-15,53,False
2018-07-22,0,False
2018-07-29,27,False
2018-08-05,27,False
2018-08-12,0,False
2018-08-19,26,False
2018-08-26,43,False
2018-09-02,26,False
2018-09-09,26,False
2018-09-16,26,False
2018-09-23,52,False
2018-09-30,26,False
2018-10-07,26,False
2018-10-14,26,False
2018-10-21,26,False
2018-10-28,0,False
2018-11-04,24,False
2018-11-11,25,False
2018-11-18,0,False
2018-11-25,25,False
2018-12-02,25,False
2018-12-09,25,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,27,False
2019-01-06,24,False
2019-01-13,24,False
2019-01-20,23,False
2019-01-27,23,False
2019-02-03,32,False
2019-02-10,24,False
2019-02-17,36,False
2019-02-24,38,False
2019-03-03,40,False
2019-03-10,24,False
2019-03-17,25,False
2019-03-24,74,False
2019-03-31,48,False
2019-04-07,25,False
2019-04-14,27,False
2019-04-21,26,False
2019-04-28,37,False
2019-05-05,36,False
2019-05-12,62,False
2019-05-19,24,False
2019-05-26,100,False
2019-06-02,24,False
2019-06-09,0,False
2019-06-16,33,False
2019-06-23,33,False
2019-06-30,24,False
2019-07-07,24,False
2019-07-14,0,False
2019-07-21,28,False
2019-07-28,27,False
2019-08-04,0,False
2019-08-11,39,False
2019-08-18,77,False
2019-08-25,24,False
2019-09-01,24,False
2019-09-08,25,False
2019-09-15,25,False
2019-09-22,0,False
2019-09-29,24,False
2019-10-06,24,False
2019-10-13,36,False
2019-10-20,24,False
2019-10-27,0,False
2019-11-03,45,False
2019-11-10,30,False
2019-11-17,45,False
2019-11-24,22,False
2019-12-01,0,False
2019-12-08,22,False
2019-12-15,23,False
2019-12-22,26,False
2019-12-29,0,False
2020-01-05,22,False
2020-01-12,21,False
2020-01-19,33,False
2020-01-26,0,False
2020-02-02,22,False
2020-02-09,21,False
2020-02-16,0,False
2020-02-23,21,False
2020-03-01,0,False
2020-03-08,20,False
2020-03-15,20,False
2020-03-22,26,False
2020-03-29,19,False
2020-04-05,35,False
2020-04-12,20,False
2020-04-19,20,False
2020-04-26,29,False
2020-05-03,20,False
2020-05-10,0,False
