date,Zimmermann Holzbau,isPartial
2018-01-07,70,False
2018-01-14,23,False
2018-01-21,23,False
2018-01-28,23,False
2018-02-04,35,False
2018-02-11,24,False
2018-02-18,47,False
2018-02-25,23,False
2018-03-04,23,False
2018-03-11,23,False
2018-03-18,23,False
2018-03-25,37,False
2018-04-01,42,False
2018-04-08,36,False
2018-04-15,25,False
2018-04-22,47,False
2018-04-29,25,False
2018-05-06,0,False
2018-05-13,35,False
2018-05-20,100,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,46,False
2018-06-17,0,False
2018-06-24,24,False
2018-07-01,23,False
2018-07-08,47,False
2018-07-15,49,False
2018-07-22,24,False
2018-07-29,48,False
2018-08-05,0,False
2018-08-12,37,False
2018-08-19,24,False
2018-08-26,0,False
2018-09-02,48,False
2018-09-09,24,False
2018-09-16,35,False
2018-09-23,32,False
2018-09-30,35,False
2018-10-07,24,False
2018-10-14,71,False
2018-10-21,39,False
2018-10-28,23,False
2018-11-04,0,False
2018-11-11,23,False
2018-11-18,22,False
2018-11-25,23,False
2018-12-02,34,False
2018-12-09,34,False
2018-12-16,24,False
2018-12-23,27,False
2018-12-30,24,False
2019-01-06,22,False
2019-01-13,21,False
2019-01-20,0,False
2019-01-27,21,False
2019-02-03,0,False
2019-02-10,44,False
2019-02-17,44,False
2019-02-24,30,False
2019-03-03,22,False
2019-03-10,36,False
2019-03-17,38,False
2019-03-24,22,False
2019-03-31,34,False
2019-04-07,0,False
2019-04-14,24,False
2019-04-21,0,False
2019-04-28,45,False
2019-05-05,22,False
2019-05-12,22,False
2019-05-19,37,False
2019-05-26,23,False
2019-06-02,44,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,34,False
2019-06-30,22,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,24,False
2019-07-28,47,False
2019-08-04,40,False
2019-08-11,34,False
2019-08-18,46,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,56,False
2019-09-15,22,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,65,False
2019-10-13,21,False
2019-10-20,0,False
2019-10-27,21,False
2019-11-03,20,False
2019-11-10,31,False
2019-11-17,83,False
2019-11-24,61,False
2019-12-01,21,False
2019-12-08,21,False
2019-12-15,21,False
2019-12-22,24,False
2019-12-29,0,False
2020-01-05,30,False
2020-01-12,29,False
2020-01-19,30,False
2020-01-26,20,False
2020-02-02,20,False
2020-02-09,58,False
2020-02-16,30,False
2020-02-23,19,False
2020-03-01,19,False
2020-03-08,36,False
2020-03-15,18,False
2020-03-22,0,False
2020-03-29,18,False
2020-04-05,19,False
2020-04-12,31,False
2020-04-19,18,False
2020-04-26,26,False
2020-05-03,18,False
2020-05-10,18,False
