date,Tiefbaufacharbeiter,isPartial
2018-01-07,59,False
2018-01-14,59,False
2018-01-21,59,False
2018-01-28,0,False
2018-02-04,30,False
2018-02-11,61,False
2018-02-18,0,False
2018-02-25,30,False
2018-03-04,40,False
2018-03-11,45,False
2018-03-18,30,False
2018-03-25,32,False
2018-04-01,65,False
2018-04-08,41,False
2018-04-15,48,False
2018-04-22,30,False
2018-04-29,31,False
2018-05-06,63,False
2018-05-13,75,False
2018-05-20,0,False
2018-05-27,31,False
2018-06-03,30,False
2018-06-10,39,False
2018-06-17,30,False
2018-06-24,46,False
2018-07-01,30,False
2018-07-08,30,False
2018-07-15,47,False
2018-07-22,63,False
2018-07-29,42,False
2018-08-05,31,False
2018-08-12,0,False
2018-08-19,31,False
2018-08-26,31,False
2018-09-02,61,False
2018-09-09,45,False
2018-09-16,30,False
2018-09-23,30,False
2018-09-30,30,False
2018-10-07,0,False
2018-10-14,61,False
2018-10-21,60,False
2018-10-28,29,False
2018-11-04,29,False
2018-11-11,30,False
2018-11-18,28,False
2018-11-25,29,False
2018-12-02,0,False
2018-12-09,29,False
2018-12-16,30,False
2018-12-23,0,False
2018-12-30,31,False
2019-01-06,28,False
2019-01-13,28,False
2019-01-20,27,False
2019-01-27,41,False
2019-02-03,0,False
2019-02-10,85,False
2019-02-17,58,False
2019-02-24,29,False
2019-03-03,28,False
2019-03-10,42,False
2019-03-17,39,False
2019-03-24,58,False
2019-03-31,58,False
2019-04-07,29,False
2019-04-14,63,False
2019-04-21,51,False
2019-04-28,38,False
2019-05-05,70,False
2019-05-12,38,False
2019-05-19,29,False
2019-05-26,59,False
2019-06-02,29,False
2019-06-09,29,False
2019-06-16,0,False
2019-06-23,73,False
2019-06-30,72,False
2019-07-07,38,False
2019-07-14,30,False
2019-07-21,63,False
2019-07-28,60,False
2019-08-04,51,False
2019-08-11,48,False
2019-08-18,30,False
2019-08-25,58,False
2019-09-01,28,False
2019-09-08,0,False
2019-09-15,43,False
2019-09-22,28,False
2019-09-29,37,False
2019-10-06,28,False
2019-10-13,41,False
2019-10-20,55,False
2019-10-27,27,False
2019-11-03,44,False
2019-11-10,53,False
2019-11-17,26,False
2019-11-24,39,False
2019-12-01,0,False
2019-12-08,54,False
2019-12-15,41,False
2019-12-22,31,False
2019-12-29,0,False
2020-01-05,26,False
2020-01-12,25,False
2020-01-19,25,False
2020-01-26,100,False
2020-02-02,63,False
2020-02-09,50,False
2020-02-16,52,False
2020-02-23,0,False
2020-03-01,50,False
2020-03-08,82,False
2020-03-15,23,False
2020-03-22,0,False
2020-03-29,57,False
2020-04-05,62,False
2020-04-12,36,False
2020-04-19,23,False
2020-04-26,23,False
2020-05-03,46,False
2020-05-10,23,False
