date,climatiseur split,isPartial
2018-01-07,13,False
2018-01-14,5,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,5,False
2018-02-11,0,False
2018-02-18,5,False
2018-02-25,0,False
2018-03-04,5,False
2018-03-11,14,False
2018-03-18,5,False
2018-03-25,5,False
2018-04-01,5,False
2018-04-08,5,False
2018-04-15,11,False
2018-04-22,19,False
2018-04-29,5,False
2018-05-06,15,False
2018-05-13,5,False
2018-05-20,12,False
2018-05-27,19,False
2018-06-03,29,False
2018-06-10,10,False
2018-06-17,15,False
2018-06-24,21,False
2018-07-01,46,False
2018-07-08,16,False
2018-07-15,16,False
2018-07-22,59,False
2018-07-29,48,False
2018-08-05,26,False
2018-08-12,9,False
2018-08-19,12,False
2018-08-26,6,False
2018-09-02,5,False
2018-09-09,5,False
2018-09-16,10,False
2018-09-23,0,False
2018-09-30,5,False
2018-10-07,5,False
2018-10-14,0,False
2018-10-21,5,False
2018-10-28,16,False
2018-11-04,10,False
2018-11-11,5,False
2018-11-18,7,False
2018-11-25,5,False
2018-12-02,5,False
2018-12-09,0,False
2018-12-16,5,False
2018-12-23,7,False
2018-12-30,0,False
2019-01-06,10,False
2019-01-13,8,False
2019-01-20,0,False
2019-01-27,5,False
2019-02-03,5,False
2019-02-10,5,False
2019-02-17,8,False
2019-02-24,11,False
2019-03-03,5,False
2019-03-10,8,False
2019-03-17,5,False
2019-03-24,7,False
2019-03-31,11,False
2019-04-07,5,False
2019-04-14,11,False
2019-04-21,15,False
2019-04-28,0,False
2019-05-05,6,False
2019-05-12,7,False
2019-05-19,11,False
2019-05-26,7,False
2019-06-02,35,False
2019-06-09,14,False
2019-06-16,18,False
2019-06-23,100,False
2019-06-30,24,False
2019-07-07,23,False
2019-07-14,14,False
2019-07-21,65,False
2019-07-28,16,False
2019-08-04,9,False
2019-08-11,14,False
2019-08-18,7,False
2019-08-25,16,False
2019-09-01,7,False
2019-09-08,11,False
2019-09-15,11,False
2019-09-22,5,False
2019-09-29,5,False
2019-10-06,5,False
2019-10-13,11,False
2019-10-20,5,False
2019-10-27,5,False
2019-11-03,5,False
2019-11-10,5,False
2019-11-17,5,False
2019-11-24,5,False
2019-12-01,5,False
2019-12-08,5,False
2019-12-15,5,False
2019-12-22,0,False
2019-12-29,6,False
2020-01-05,5,False
2020-01-12,7,False
2020-01-19,10,False
2020-01-26,12,False
2020-02-02,7,False
2020-02-09,10,False
2020-02-16,8,False
2020-02-23,15,False
2020-03-01,5,False
2020-03-08,7,False
2020-03-15,5,False
2020-03-22,0,False
2020-03-29,13,False
2020-04-05,15,False
2020-04-12,19,False
2020-04-19,13,False
2020-04-26,25,False
2020-05-03,13,False
2020-05-10,18,False
2020-05-17,36,True
