date,climatiseur split,isPartial
2018-01-07,0,False
2018-01-14,18,False
2018-01-21,18,False
2018-01-28,0,False
2018-02-04,18,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,18,False
2018-03-04,0,False
2018-03-11,19,False
2018-03-18,18,False
2018-03-25,19,False
2018-04-01,19,False
2018-04-08,17,False
2018-04-15,20,False
2018-04-22,19,False
2018-04-29,18,False
2018-05-06,18,False
2018-05-13,0,False
2018-05-20,19,False
2018-05-27,0,False
2018-06-03,18,False
2018-06-10,18,False
2018-06-17,47,False
2018-06-24,19,False
2018-07-01,18,False
2018-07-08,18,False
2018-07-15,27,False
2018-07-22,29,False
2018-07-29,53,False
2018-08-05,54,False
2018-08-12,33,False
2018-08-19,26,False
2018-08-26,24,False
2018-09-02,0,False
2018-09-09,18,False
2018-09-16,19,False
2018-09-23,0,False
2018-09-30,19,False
2018-10-07,19,False
2018-10-14,19,False
2018-10-21,20,False
2018-10-28,19,False
2018-11-04,18,False
2018-11-11,28,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,19,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,19,False
2019-01-20,19,False
2019-01-27,18,False
2019-02-03,19,False
2019-02-10,19,False
2019-02-17,19,False
2019-02-24,20,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,29,False
2019-03-24,20,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,18,False
2019-04-21,18,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,18,False
2019-05-19,18,False
2019-05-26,18,False
2019-06-02,18,False
2019-06-09,0,False
2019-06-16,55,False
2019-06-23,36,False
2019-06-30,65,False
2019-07-07,25,False
2019-07-14,17,False
2019-07-21,27,False
2019-07-28,16,False
2019-08-04,16,False
2019-08-11,15,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,17,False
2019-09-08,17,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,17,False
2019-10-27,0,False
2019-11-03,34,False
2019-11-10,17,False
2019-11-17,0,False
2019-11-24,17,False
2019-12-01,0,False
2019-12-08,17,False
2019-12-15,17,False
2019-12-22,0,False
2019-12-29,36,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,17,False
2020-02-16,16,False
2020-02-23,0,False
2020-03-01,15,False
2020-03-08,0,False
2020-03-15,14,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,13,False
2020-04-19,13,False
2020-04-26,13,False
2020-05-03,13,False
2020-05-10,13,False
2020-05-17,100,True
