date,climatiseur split,isPartial
2018-01-07,10,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,10,False
2018-02-04,20,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,10,False
2018-03-04,10,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,11,False
2018-04-01,0,False
2018-04-08,11,False
2018-04-15,20,False
2018-04-22,11,False
2018-04-29,11,False
2018-05-06,23,False
2018-05-13,32,False
2018-05-20,16,False
2018-05-27,16,False
2018-06-03,11,False
2018-06-10,10,False
2018-06-17,11,False
2018-06-24,29,False
2018-07-01,39,False
2018-07-08,15,False
2018-07-15,11,False
2018-07-22,19,False
2018-07-29,58,False
2018-08-05,59,False
2018-08-12,12,False
2018-08-19,23,False
2018-08-26,11,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,22,False
2018-09-23,11,False
2018-09-30,27,False
2018-10-07,11,False
2018-10-14,11,False
2018-10-21,0,False
2018-10-28,11,False
2018-11-04,11,False
2018-11-11,11,False
2018-11-18,10,False
2018-11-25,11,False
2018-12-02,11,False
2018-12-09,11,False
2018-12-16,0,False
2018-12-23,12,False
2018-12-30,0,False
2019-01-06,10,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,10,False
2019-02-03,20,False
2019-02-10,10,False
2019-02-17,11,False
2019-02-24,21,False
2019-03-03,15,False
2019-03-10,20,False
2019-03-17,11,False
2019-03-24,14,False
2019-03-31,10,False
2019-04-07,10,False
2019-04-14,0,False
2019-04-21,13,False
2019-04-28,0,False
2019-05-05,10,False
2019-05-12,10,False
2019-05-19,15,False
2019-05-26,31,False
2019-06-02,15,False
2019-06-09,9,False
2019-06-16,40,False
2019-06-23,81,False
2019-06-30,100,False
2019-07-07,19,False
2019-07-14,10,False
2019-07-21,51,False
2019-07-28,10,False
2019-08-04,14,False
2019-08-11,11,False
2019-08-18,11,False
2019-08-25,14,False
2019-09-01,9,False
2019-09-08,10,False
2019-09-15,0,False
2019-09-22,19,False
2019-09-29,10,False
2019-10-06,15,False
2019-10-13,19,False
2019-10-20,0,False
2019-10-27,14,False
2019-11-03,0,False
2019-11-10,9,False
2019-11-17,9,False
2019-11-24,0,False
2019-12-01,9,False
2019-12-08,9,False
2019-12-15,9,False
2019-12-22,10,False
2019-12-29,9,False
2020-01-05,9,False
2020-01-12,12,False
2020-01-19,12,False
2020-01-26,11,False
2020-02-02,17,False
2020-02-09,17,False
2020-02-16,14,False
2020-02-23,17,False
2020-03-01,8,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,8,False
2020-03-29,8,False
2020-04-05,21,False
2020-04-12,13,False
2020-04-19,12,False
2020-04-26,15,False
2020-05-03,20,False
2020-05-10,18,False
2020-05-17,39,True
