date,consultation psychologue,isPartial
2018-01-07,37,False
2018-01-14,73,False
2018-01-21,68,False
2018-01-28,28,False
2018-02-04,27,False
2018-02-11,28,False
2018-02-18,59,False
2018-02-25,59,False
2018-03-04,37,False
2018-03-11,28,False
2018-03-18,28,False
2018-03-25,28,False
2018-04-01,39,False
2018-04-08,28,False
2018-04-15,50,False
2018-04-22,60,False
2018-04-29,58,False
2018-05-06,31,False
2018-05-13,28,False
2018-05-20,28,False
2018-05-27,55,False
2018-06-03,27,False
2018-06-10,53,False
2018-06-17,27,False
2018-06-24,41,False
2018-07-01,27,False
2018-07-08,48,False
2018-07-15,0,False
2018-07-22,31,False
2018-07-29,66,False
2018-08-05,34,False
2018-08-12,36,False
2018-08-19,100,False
2018-08-26,45,False
2018-09-02,57,False
2018-09-09,46,False
2018-09-16,27,False
2018-09-23,55,False
2018-09-30,64,False
2018-10-07,41,False
2018-10-14,26,False
2018-10-21,53,False
2018-10-28,44,False
2018-11-04,36,False
2018-11-11,0,False
2018-11-18,40,False
2018-11-25,27,False
2018-12-02,69,False
2018-12-09,38,False
2018-12-16,28,False
2018-12-23,0,False
2018-12-30,32,False
2019-01-06,74,False
2019-01-13,69,False
2019-01-20,40,False
2019-01-27,27,False
2019-02-03,26,False
2019-02-10,27,False
2019-02-17,41,False
2019-02-24,28,False
2019-03-03,54,False
2019-03-10,55,False
2019-03-17,29,False
2019-03-24,29,False
2019-03-31,43,False
2019-04-07,68,False
2019-04-14,45,False
2019-04-21,32,False
2019-04-28,41,False
2019-05-05,50,False
2019-05-12,29,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,52,False
2019-06-09,43,False
2019-06-16,29,False
2019-06-23,39,False
2019-06-30,29,False
2019-07-07,30,False
2019-07-14,32,False
2019-07-21,56,False
2019-07-28,35,False
2019-08-04,74,False
2019-08-11,0,False
2019-08-18,36,False
2019-08-25,64,False
2019-09-01,59,False
2019-09-08,38,False
2019-09-15,28,False
2019-09-22,54,False
2019-09-29,27,False
2019-10-06,56,False
2019-10-13,38,False
2019-10-20,43,False
2019-10-27,44,False
2019-11-03,41,False
2019-11-10,56,False
2019-11-17,56,False
2019-11-24,54,False
2019-12-01,0,False
2019-12-08,27,False
2019-12-15,55,False
2019-12-22,0,False
2019-12-29,31,False
2020-01-05,53,False
2020-01-12,71,False
2020-01-19,27,False
2020-01-26,53,False
2020-02-02,68,False
2020-02-09,68,False
2020-02-16,42,False
2020-02-23,26,False
2020-03-01,64,False
2020-03-08,0,False
2020-03-15,82,False
2020-03-22,28,False
2020-03-29,0,False
2020-04-05,36,False
2020-04-12,27,False
2020-04-19,27,False
2020-04-26,26,False
2020-05-03,76,False
2020-05-10,53,False
2020-05-17,63,True
