date,Ernährungsberater,isPartial
2018-01-07,57,False
2018-01-14,88,False
2018-01-21,56,False
2018-01-28,24,False
2018-02-04,49,False
2018-02-11,33,False
2018-02-18,49,False
2018-02-25,72,False
2018-03-04,36,False
2018-03-11,72,False
2018-03-18,33,False
2018-03-25,51,False
2018-04-01,25,False
2018-04-08,34,False
2018-04-15,51,False
2018-04-22,40,False
2018-04-29,33,False
2018-05-06,43,False
2018-05-13,48,False
2018-05-20,25,False
2018-05-27,31,False
2018-06-03,48,False
2018-06-10,55,False
2018-06-17,59,False
2018-06-24,37,False
2018-07-01,50,False
2018-07-08,25,False
2018-07-15,41,False
2018-07-22,60,False
2018-07-29,37,False
2018-08-05,31,False
2018-08-12,69,False
2018-08-19,34,False
2018-08-26,24,False
2018-09-02,24,False
2018-09-09,48,False
2018-09-16,36,False
2018-09-23,37,False
2018-09-30,34,False
2018-10-07,26,False
2018-10-14,24,False
2018-10-21,35,False
2018-10-28,82,False
2018-11-04,46,False
2018-11-11,55,False
2018-11-18,46,False
2018-11-25,48,False
2018-12-02,23,False
2018-12-09,48,False
2018-12-16,25,False
2018-12-23,27,False
2018-12-30,49,False
2019-01-06,60,False
2019-01-13,45,False
2019-01-20,60,False
2019-01-27,38,False
2019-02-03,38,False
2019-02-10,54,False
2019-02-17,100,False
2019-02-24,31,False
2019-03-03,45,False
2019-03-10,22,False
2019-03-17,35,False
2019-03-24,23,False
2019-03-31,55,False
2019-04-07,49,False
2019-04-14,52,False
2019-04-21,60,False
2019-04-28,47,False
2019-05-05,57,False
2019-05-12,46,False
2019-05-19,46,False
2019-05-26,23,False
2019-06-02,38,False
2019-06-09,45,False
2019-06-16,34,False
2019-06-23,23,False
2019-06-30,31,False
2019-07-07,23,False
2019-07-14,37,False
2019-07-21,59,False
2019-07-28,60,False
2019-08-04,40,False
2019-08-11,32,False
2019-08-18,79,False
2019-08-25,33,False
2019-09-01,51,False
2019-09-08,30,False
2019-09-15,30,False
2019-09-22,55,False
2019-09-29,37,False
2019-10-06,0,False
2019-10-13,36,False
2019-10-20,33,False
2019-10-27,57,False
2019-11-03,21,False
2019-11-10,28,False
2019-11-17,0,False
2019-11-24,27,False
2019-12-01,63,False
2019-12-08,41,False
2019-12-15,21,False
2019-12-22,0,False
2019-12-29,22,False
2020-01-05,30,False
2020-01-12,39,False
2020-01-19,41,False
2020-01-26,50,False
2020-02-02,93,False
2020-02-09,65,False
2020-02-16,47,False
2020-02-23,33,False
2020-03-01,54,False
2020-03-08,19,False
2020-03-15,28,False
2020-03-22,28,False
2020-03-29,46,False
2020-04-05,41,False
2020-04-12,19,False
2020-04-19,25,False
2020-04-26,36,False
2020-05-03,25,False
2020-05-10,18,False
2020-05-17,86,True
