date,limusina,isPartial
2018-01-07,95,False
2018-01-14,37,False
2018-01-21,25,False
2018-01-28,70,False
2018-02-04,73,False
2018-02-11,49,False
2018-02-18,37,False
2018-02-25,92,False
2018-03-04,57,False
2018-03-11,45,False
2018-03-18,36,False
2018-03-25,53,False
2018-04-01,23,False
2018-04-08,57,False
2018-04-15,49,False
2018-04-22,71,False
2018-04-29,37,False
2018-05-06,47,False
2018-05-13,25,False
2018-05-20,48,False
2018-05-27,62,False
2018-06-03,71,False
2018-06-10,23,False
2018-06-17,63,False
2018-06-24,49,False
2018-07-01,74,False
2018-07-08,24,False
2018-07-15,25,False
2018-07-22,37,False
2018-07-29,97,False
2018-08-05,47,False
2018-08-12,48,False
2018-08-19,48,False
2018-08-26,24,False
2018-09-02,47,False
2018-09-09,70,False
2018-09-16,36,False
2018-09-23,24,False
2018-09-30,71,False
2018-10-07,84,False
2018-10-14,23,False
2018-10-21,35,False
2018-10-28,24,False
2018-11-04,46,False
2018-11-11,47,False
2018-11-18,0,False
2018-11-25,72,False
2018-12-02,26,False
2018-12-09,100,False
2018-12-16,25,False
2018-12-23,28,False
2018-12-30,27,False
2019-01-06,74,False
2019-01-13,23,False
2019-01-20,44,False
2019-01-27,56,False
2019-02-03,72,False
2019-02-10,47,False
2019-02-17,24,False
2019-02-24,25,False
2019-03-03,97,False
2019-03-10,50,False
2019-03-17,61,False
2019-03-24,47,False
2019-03-31,68,False
2019-04-07,83,False
2019-04-14,23,False
2019-04-21,23,False
2019-04-28,36,False
2019-05-05,61,False
2019-05-12,24,False
2019-05-19,71,False
2019-05-26,23,False
2019-06-02,92,False
2019-06-09,23,False
2019-06-16,48,False
2019-06-23,72,False
2019-06-30,60,False
2019-07-07,47,False
2019-07-14,24,False
2019-07-21,48,False
2019-07-28,61,False
2019-08-04,23,False
2019-08-11,23,False
2019-08-18,68,False
2019-08-25,33,False
2019-09-01,22,False
2019-09-08,44,False
2019-09-15,33,False
2019-09-22,44,False
2019-09-29,22,False
2019-10-06,67,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,32,False
2019-11-03,64,False
2019-11-10,21,False
2019-11-17,62,False
2019-11-24,21,False
2019-12-01,55,False
2019-12-08,56,False
2019-12-15,41,False
2019-12-22,0,False
2019-12-29,35,False
2020-01-05,0,False
2020-01-12,30,False
2020-01-19,38,False
2020-01-26,20,False
2020-02-02,21,False
2020-02-09,62,False
2020-02-16,41,False
2020-02-23,41,False
2020-03-01,20,False
2020-03-08,19,False
2020-03-15,0,False
2020-03-22,17,False
2020-03-29,43,False
2020-04-05,18,False
2020-04-12,30,True
