date,Malerbetrieb,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,61,False
2018-01-28,73,False
2018-02-04,61,False
2018-02-11,61,False
2018-02-18,92,False
2018-02-25,60,False
2018-03-04,45,False
2018-03-11,29,False
2018-03-18,75,False
2018-03-25,95,False
2018-04-01,32,False
2018-04-08,31,False
2018-04-15,0,False
2018-04-22,30,False
2018-04-29,47,False
2018-05-06,31,False
2018-05-13,29,False
2018-05-20,60,False
2018-05-27,0,False
2018-06-03,60,False
2018-06-10,0,False
2018-06-17,29,False
2018-06-24,59,False
2018-07-01,0,False
2018-07-08,92,False
2018-07-15,97,False
2018-07-22,0,False
2018-07-29,30,False
2018-08-05,29,False
2018-08-12,100,False
2018-08-19,29,False
2018-08-26,29,False
2018-09-02,0,False
2018-09-09,29,False
2018-09-16,60,False
2018-09-23,30,False
2018-09-30,30,False
2018-10-07,31,False
2018-10-14,0,False
2018-10-21,28,False
2018-10-28,28,False
2018-11-04,56,False
2018-11-11,28,False
2018-11-18,42,False
2018-11-25,29,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,58,False
2018-12-23,33,False
2018-12-30,30,False
2019-01-06,81,False
2019-01-13,54,False
2019-01-20,27,False
2019-01-27,67,False
2019-02-03,27,False
2019-02-10,28,False
2019-02-17,29,False
2019-02-24,29,False
2019-03-03,55,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,28,False
2019-03-31,58,False
2019-04-07,29,False
2019-04-14,61,False
2019-04-21,61,False
2019-04-28,0,False
2019-05-05,27,False
2019-05-12,70,False
2019-05-19,28,False
2019-05-26,57,False
2019-06-02,28,False
2019-06-09,56,False
2019-06-16,28,False
2019-06-23,29,False
2019-06-30,55,False
2019-07-07,57,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,29,False
2019-08-04,44,False
2019-08-11,29,False
2019-08-18,28,False
2019-08-25,55,False
2019-09-01,27,False
2019-09-08,28,False
2019-09-15,28,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,81,False
2019-10-13,28,False
2019-10-20,28,False
2019-10-27,0,False
2019-11-03,38,False
2019-11-10,39,False
2019-11-17,26,False
2019-11-24,26,False
2019-12-01,27,False
2019-12-08,52,False
2019-12-15,39,False
2019-12-22,29,False
2019-12-29,28,False
2020-01-05,49,False
2020-01-12,0,False
2020-01-19,25,False
2020-01-26,49,False
2020-02-02,48,False
2020-02-09,25,False
2020-02-16,63,False
2020-02-23,24,False
2020-03-01,48,False
2020-03-08,23,False
2020-03-15,22,False
2020-03-22,0,False
2020-03-29,22,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,23,False
2020-04-26,22,False
2020-05-03,23,False
2020-05-10,34,False
2020-05-17,0,True
