date,Tanzschule Hochzeit,isPartial
2018-01-07,41,False
2018-01-14,20,False
2018-01-21,41,False
2018-01-28,30,False
2018-02-04,42,False
2018-02-11,0,False
2018-02-18,21,False
2018-02-25,62,False
2018-03-04,21,False
2018-03-11,21,False
2018-03-18,21,False
2018-03-25,22,False
2018-04-01,78,False
2018-04-08,0,False
2018-04-15,43,False
2018-04-22,42,False
2018-04-29,0,False
2018-05-06,22,False
2018-05-13,31,False
2018-05-20,22,False
2018-05-27,21,False
2018-06-03,32,False
2018-06-10,20,False
2018-06-17,20,False
2018-06-24,21,False
2018-07-01,62,False
2018-07-08,21,False
2018-07-15,42,False
2018-07-22,0,False
2018-07-29,22,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,43,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,21,False
2018-09-16,0,False
2018-09-23,32,False
2018-09-30,21,False
2018-10-07,21,False
2018-10-14,21,False
2018-10-21,41,False
2018-10-28,20,False
2018-11-04,20,False
2018-11-11,20,False
2018-11-18,20,False
2018-11-25,20,False
2018-12-02,0,False
2018-12-09,20,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,65,False
2019-01-06,58,False
2019-01-13,38,False
2019-01-20,19,False
2019-01-27,19,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,20,False
2019-02-24,40,False
2019-03-03,58,False
2019-03-10,39,False
2019-03-17,20,False
2019-03-24,30,False
2019-03-31,40,False
2019-04-07,100,False
2019-04-14,0,False
2019-04-21,42,False
2019-04-28,19,False
2019-05-05,19,False
2019-05-12,20,False
2019-05-19,20,False
2019-05-26,20,False
2019-06-02,19,False
2019-06-09,0,False
2019-06-16,30,False
2019-06-23,60,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,51,False
2019-07-21,21,False
2019-07-28,41,False
2019-08-04,42,False
2019-08-11,20,False
2019-08-18,0,False
2019-08-25,20,False
2019-09-01,0,False
2019-09-08,20,False
2019-09-15,20,False
2019-09-22,19,False
2019-09-29,19,False
2019-10-06,19,False
2019-10-13,0,False
2019-10-20,38,False
2019-10-27,19,False
2019-11-03,36,False
2019-11-10,28,False
2019-11-17,18,False
2019-11-24,18,False
2019-12-01,28,False
2019-12-08,36,False
2019-12-15,0,False
2019-12-22,21,False
2019-12-29,40,False
2020-01-05,62,False
2020-01-12,17,False
2020-01-19,35,False
2020-01-26,17,False
2020-02-02,35,False
2020-02-09,34,False
2020-02-16,26,False
2020-02-23,51,False
2020-03-01,0,False
2020-03-08,16,False
2020-03-15,16,False
2020-03-22,0,False
2020-03-29,16,False
2020-04-05,35,False
2020-04-12,0,True
