date,aménagement paysager,isPartial
2018-01-07,27,False
2018-01-14,27,False
2018-01-21,27,False
2018-01-28,55,False
2018-02-04,27,False
2018-02-11,28,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,28,False
2018-03-11,28,False
2018-03-18,57,False
2018-03-25,29,False
2018-04-01,0,False
2018-04-08,28,False
2018-04-15,30,False
2018-04-22,29,False
2018-04-29,29,False
2018-05-06,76,False
2018-05-13,28,False
2018-05-20,58,False
2018-05-27,0,False
2018-06-03,27,False
2018-06-10,40,False
2018-06-17,27,False
2018-06-24,42,False
2018-07-01,54,False
2018-07-08,43,False
2018-07-15,0,False
2018-07-22,32,False
2018-07-29,0,False
2018-08-05,70,False
2018-08-12,36,False
2018-08-19,67,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,28,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,59,False
2018-11-04,0,False
2018-11-11,53,False
2018-11-18,27,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,28,False
2018-12-23,0,False
2018-12-30,48,False
2019-01-06,28,False
2019-01-13,56,False
2019-01-20,0,False
2019-01-27,54,False
2019-02-03,51,False
2019-02-10,27,False
2019-02-17,41,False
2019-02-24,56,False
2019-03-03,54,False
2019-03-10,28,False
2019-03-17,57,False
2019-03-24,0,False
2019-03-31,100,False
2019-04-07,29,False
2019-04-14,29,False
2019-04-21,47,False
2019-04-28,31,False
2019-05-05,30,False
2019-05-12,59,False
2019-05-19,29,False
2019-05-26,30,False
2019-06-02,0,False
2019-06-09,57,False
2019-06-16,29,False
2019-06-23,29,False
2019-06-30,58,False
2019-07-07,0,False
2019-07-14,63,False
2019-07-21,67,False
2019-07-28,35,False
2019-08-04,37,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,64,False
2019-09-01,28,False
2019-09-08,0,False
2019-09-15,28,False
2019-09-22,55,False
2019-09-29,0,False
2019-10-06,28,False
2019-10-13,0,False
2019-10-20,43,False
2019-10-27,29,False
2019-11-03,27,False
2019-11-10,0,False
2019-11-17,55,False
2019-11-24,41,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,27,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,52,False
2020-01-12,26,False
2020-01-19,55,False
2020-01-26,27,False
2020-02-02,55,False
2020-02-09,27,False
2020-02-16,0,False
2020-02-23,52,False
2020-03-01,0,False
2020-03-08,76,False
2020-03-15,54,False
2020-03-22,0,False
2020-03-29,27,False
2020-04-05,54,False
2020-04-12,28,False
2020-04-19,27,False
2020-04-26,26,False
2020-05-03,25,False
2020-05-10,0,False
2020-05-17,0,False
2020-05-24,26,False
2020-05-31,49,False
2020-06-07,52,False
2020-06-14,26,False
2020-06-21,99,True
