date,Baumeister,isPartial
2018-01-07,25,False
2018-01-14,26,False
2018-01-21,22,False
2018-01-28,37,False
2018-02-04,30,False
2018-02-11,28,False
2018-02-18,25,False
2018-02-25,19,False
2018-03-04,21,False
2018-03-11,28,False
2018-03-18,37,False
2018-03-25,30,False
2018-04-01,25,False
2018-04-08,39,False
2018-04-15,13,False
2018-04-22,23,False
2018-04-29,23,False
2018-05-06,17,False
2018-05-13,56,False
2018-05-20,28,False
2018-05-27,10,False
2018-06-03,10,False
2018-06-10,15,False
2018-06-17,22,False
2018-06-24,39,False
2018-07-01,20,False
2018-07-08,13,False
2018-07-15,29,False
2018-07-22,45,False
2018-07-29,15,False
2018-08-05,22,False
2018-08-12,22,False
2018-08-19,34,False
2018-08-26,17,False
2018-09-02,7,False
2018-09-09,16,False
2018-09-16,23,False
2018-09-23,26,False
2018-09-30,23,False
2018-10-07,24,False
2018-10-14,23,False
2018-10-21,27,False
2018-10-28,13,False
2018-11-04,31,False
2018-11-11,29,False
2018-11-18,28,False
2018-11-25,25,False
2018-12-02,35,False
2018-12-09,13,False
2018-12-16,17,False
2018-12-23,35,False
2018-12-30,29,False
2019-01-06,30,False
2019-01-13,19,False
2019-01-20,17,False
2019-01-27,17,False
2019-02-03,29,False
2019-02-10,22,False
2019-02-17,12,False
2019-02-24,40,False
2019-03-03,13,False
2019-03-10,9,False
2019-03-17,35,False
2019-03-24,22,False
2019-03-31,13,False
2019-04-07,10,False
2019-04-14,36,False
2019-04-21,64,False
2019-04-28,28,False
2019-05-05,19,False
2019-05-12,41,False
2019-05-19,25,False
2019-05-26,20,False
2019-06-02,8,False
2019-06-09,6,False
2019-06-16,19,False
2019-06-23,20,False
2019-06-30,29,False
2019-07-07,19,False
2019-07-14,43,False
2019-07-21,10,False
2019-07-28,20,False
2019-08-04,19,False
2019-08-11,29,False
2019-08-18,44,False
2019-08-25,20,False
2019-09-01,12,False
2019-09-08,19,False
2019-09-15,21,False
2019-09-22,28,False
2019-09-29,33,False
2019-10-06,19,False
2019-10-13,40,False
2019-10-20,24,False
2019-10-27,100,False
2019-11-03,56,False
2019-11-10,35,False
2019-11-17,15,False
2019-11-24,32,False
2019-12-01,30,False
2019-12-08,24,False
2019-12-15,31,False
2019-12-22,28,False
2019-12-29,58,False
2020-01-05,22,False
2020-01-12,25,False
2020-01-19,38,False
2020-01-26,32,False
2020-02-02,30,False
2020-02-09,31,False
2020-02-16,32,False
2020-02-23,25,False
2020-03-01,16,False
2020-03-08,25,False
2020-03-15,43,False
2020-03-22,11,False
2020-03-29,46,False
2020-04-05,22,False
2020-04-12,18,False
2020-04-19,20,False
2020-04-26,13,False
2020-05-03,25,False
2020-05-10,22,False
