date,insert granule,isPartial
2018-01-07,25,False
2018-01-14,37,False
2018-01-21,33,False
2018-01-28,40,False
2018-02-04,41,False
2018-02-11,21,False
2018-02-18,45,False
2018-02-25,57,False
2018-03-04,31,False
2018-03-11,34,False
2018-03-18,34,False
2018-03-25,32,False
2018-04-01,26,False
2018-04-08,25,False
2018-04-15,14,False
2018-04-22,13,False
2018-04-29,29,False
2018-05-06,18,False
2018-05-13,19,False
2018-05-20,13,False
2018-05-27,10,False
2018-06-03,19,False
2018-06-10,14,False
2018-06-17,19,False
2018-06-24,13,False
2018-07-01,12,False
2018-07-08,13,False
2018-07-15,10,False
2018-07-22,14,False
2018-07-29,28,False
2018-08-05,24,False
2018-08-12,21,False
2018-08-19,30,False
2018-08-26,31,False
2018-09-02,33,False
2018-09-09,34,False
2018-09-16,47,False
2018-09-23,58,False
2018-09-30,77,False
2018-10-07,43,False
2018-10-14,43,False
2018-10-21,67,False
2018-10-28,100,False
2018-11-04,63,False
2018-11-11,52,False
2018-11-18,46,False
2018-11-25,57,False
2018-12-02,32,False
2018-12-09,47,False
2018-12-16,44,False
2018-12-23,47,False
2018-12-30,37,False
2019-01-06,46,False
2019-01-13,48,False
2019-01-20,45,False
2019-01-27,44,False
2019-02-03,35,False
2019-02-10,56,False
2019-02-17,33,False
2019-02-24,30,False
2019-03-03,23,False
2019-03-10,42,False
2019-03-17,15,False
2019-03-24,22,False
2019-03-31,17,False
2019-04-07,28,False
2019-04-14,15,False
2019-04-21,17,False
2019-04-28,13,False
2019-05-05,33,False
2019-05-12,23,False
2019-05-19,12,False
2019-05-26,27,False
2019-06-02,14,False
2019-06-09,12,False
2019-06-16,17,False
2019-06-23,21,False
2019-06-30,14,False
2019-07-07,8,False
2019-07-14,23,False
2019-07-21,13,False
2019-07-28,13,False
2019-08-04,11,False
2019-08-11,13,False
2019-08-18,24,False
2019-08-25,17,False
2019-09-01,36,False
2019-09-08,40,False
2019-09-15,34,False
2019-09-22,27,False
2019-09-29,44,False
2019-10-06,61,False
2019-10-13,45,False
2019-10-20,57,False
2019-10-27,54,False
2019-11-03,76,False
2019-11-10,86,False
2019-11-17,46,False
2019-11-24,35,False
2019-12-01,52,False
2019-12-08,40,False
2019-12-15,40,False
2019-12-22,40,False
2019-12-29,55,False
2020-01-05,53,False
2020-01-12,41,False
2020-01-19,59,False
2020-01-26,51,False
2020-02-02,33,False
2020-02-09,31,False
2020-02-16,20,False
2020-02-23,14,False
2020-03-01,28,False
2020-03-08,21,False
2020-03-15,10,False
2020-03-22,16,False
2020-03-29,7,False
2020-04-05,18,False
2020-04-12,8,False
2020-04-19,10,False
2020-04-26,22,False
2020-05-03,9,False
2020-05-10,15,False
2020-05-17,14,True
