date,torta limone,isPartial
2018-01-07,14,False
2018-01-14,13,False
2018-01-21,32,False
2018-01-28,26,False
2018-02-04,26,False
2018-02-11,13,False
2018-02-18,41,False
2018-02-25,40,False
2018-03-04,13,False
2018-03-11,13,False
2018-03-18,27,False
2018-03-25,19,False
2018-04-01,14,False
2018-04-08,32,False
2018-04-15,14,False
2018-04-22,14,False
2018-04-29,19,False
2018-05-06,23,False
2018-05-13,16,False
2018-05-20,16,False
2018-05-27,16,False
2018-06-03,19,False
2018-06-10,18,False
2018-06-17,19,False
2018-06-24,16,False
2018-07-01,8,False
2018-07-08,18,False
2018-07-15,14,False
2018-07-22,14,False
2018-07-29,9,False
2018-08-05,12,False
2018-08-12,26,False
2018-08-19,23,False
2018-08-26,27,False
2018-09-02,18,False
2018-09-09,11,False
2018-09-16,18,False
2018-09-23,18,False
2018-09-30,19,False
2018-10-07,16,False
2018-10-14,32,False
2018-10-21,11,False
2018-10-28,18,False
2018-11-04,20,False
2018-11-11,24,False
2018-11-18,23,False
2018-11-25,31,False
2018-12-02,16,False
2018-12-09,19,False
2018-12-16,14,False
2018-12-23,17,False
2018-12-30,16,False
2019-01-06,25,False
2019-01-13,26,False
2019-01-20,21,False
2019-01-27,21,False
2019-02-03,31,False
2019-02-10,18,False
2019-02-17,27,False
2019-02-24,19,False
2019-03-03,19,False
2019-03-10,43,False
2019-03-17,11,False
2019-03-24,11,False
2019-03-31,16,False
2019-04-07,19,False
2019-04-14,22,False
2019-04-21,18,False
2019-04-28,11,False
2019-05-05,8,False
2019-05-12,17,False
2019-05-19,15,False
2019-05-26,12,False
2019-06-02,13,False
2019-06-09,11,False
2019-06-16,13,False
2019-06-23,28,False
2019-06-30,14,False
2019-07-07,32,False
2019-07-14,15,False
2019-07-21,16,False
2019-07-28,16,False
2019-08-04,17,False
2019-08-11,18,False
2019-08-18,16,False
2019-08-25,12,False
2019-09-01,35,False
2019-09-08,19,False
2019-09-15,24,False
2019-09-22,17,False
2019-09-29,20,False
2019-10-06,23,False
2019-10-13,23,False
2019-10-20,24,False
2019-10-27,27,False
2019-11-03,24,False
2019-11-10,12,False
2019-11-17,24,False
2019-11-24,21,False
2019-12-01,10,False
2019-12-08,25,False
2019-12-15,15,False
2019-12-22,27,False
2019-12-29,17,False
2020-01-05,5,False
2020-01-12,11,False
2020-01-19,9,False
2020-01-26,20,False
2020-02-02,31,False
2020-02-09,21,False
2020-02-16,23,False
2020-02-23,31,False
2020-03-01,36,False
2020-03-08,53,False
2020-03-15,76,False
2020-03-22,49,False
2020-03-29,100,False
2020-04-05,75,False
2020-04-12,83,False
2020-04-19,71,False
2020-04-26,79,True
