date,torta limone,isPartial
2018-01-07,21,False
2018-01-14,26,False
2018-01-21,37,False
2018-01-28,31,False
2018-02-04,15,False
2018-02-11,20,False
2018-02-18,59,False
2018-02-25,40,False
2018-03-04,25,False
2018-03-11,31,False
2018-03-18,36,False
2018-03-25,11,False
2018-04-01,46,False
2018-04-08,32,False
2018-04-15,26,False
2018-04-22,33,False
2018-04-29,28,False
2018-05-06,26,False
2018-05-13,37,False
2018-05-20,16,False
2018-05-27,11,False
2018-06-03,33,False
2018-06-10,31,False
2018-06-17,15,False
2018-06-24,0,False
2018-07-01,11,False
2018-07-08,20,False
2018-07-15,16,False
2018-07-22,14,False
2018-07-29,28,False
2018-08-05,13,False
2018-08-12,15,False
2018-08-19,11,False
2018-08-26,18,False
2018-09-02,0,False
2018-09-09,22,False
2018-09-16,34,False
2018-09-23,0,False
2018-09-30,16,False
2018-10-07,17,False
2018-10-14,22,False
2018-10-21,11,False
2018-10-28,21,False
2018-11-04,32,False
2018-11-11,11,False
2018-11-18,11,False
2018-11-25,32,False
2018-12-02,11,False
2018-12-09,51,False
2018-12-16,12,False
2018-12-23,24,False
2018-12-30,33,False
2019-01-06,11,False
2019-01-13,54,False
2019-01-20,46,False
2019-01-27,15,False
2019-02-03,26,False
2019-02-10,37,False
2019-02-17,59,False
2019-02-24,11,False
2019-03-03,56,False
2019-03-10,27,False
2019-03-17,33,False
2019-03-24,22,False
2019-03-31,22,False
2019-04-07,27,False
2019-04-14,29,False
2019-04-21,22,False
2019-04-28,22,False
2019-05-05,22,False
2019-05-12,16,False
2019-05-19,33,False
2019-05-26,15,False
2019-06-02,44,False
2019-06-09,17,False
2019-06-16,39,False
2019-06-23,38,False
2019-06-30,17,False
2019-07-07,16,False
2019-07-14,21,False
2019-07-21,16,False
2019-07-28,25,False
2019-08-04,23,False
2019-08-11,22,False
2019-08-18,13,False
2019-08-25,26,False
2019-09-01,19,False
2019-09-08,22,False
2019-09-15,22,False
2019-09-22,27,False
2019-09-29,27,False
2019-10-06,22,False
2019-10-13,34,False
2019-10-20,11,False
2019-10-27,33,False
2019-11-03,11,False
2019-11-10,11,False
2019-11-17,17,False
2019-11-24,10,False
2019-12-01,22,False
2019-12-08,22,False
2019-12-15,0,False
2019-12-22,17,False
2019-12-29,22,False
2020-01-05,11,False
2020-01-12,20,False
2020-01-19,30,False
2020-01-26,29,False
2020-02-02,29,False
2020-02-09,36,False
2020-02-16,50,False
2020-02-23,23,False
2020-03-01,47,False
2020-03-08,46,False
2020-03-15,40,False
2020-03-22,100,False
2020-03-29,63,False
2020-04-05,42,False
2020-04-12,26,False
2020-04-19,55,False
2020-04-26,42,True
