date,torta limone,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,38,False
2018-01-28,19,False
2018-02-04,18,False
2018-02-11,0,False
2018-02-18,36,False
2018-02-25,43,False
2018-03-04,38,False
2018-03-11,27,False
2018-03-18,18,False
2018-03-25,20,False
2018-04-01,19,False
2018-04-08,19,False
2018-04-15,100,False
2018-04-22,0,False
2018-04-29,28,False
2018-05-06,38,False
2018-05-13,20,False
2018-05-20,19,False
2018-05-27,19,False
2018-06-03,0,False
2018-06-10,18,False
2018-06-17,19,False
2018-06-24,57,False
2018-07-01,48,False
2018-07-08,38,False
2018-07-15,29,False
2018-07-22,28,False
2018-07-29,19,False
2018-08-05,18,False
2018-08-12,16,False
2018-08-19,18,False
2018-08-26,36,False
2018-09-02,19,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,20,False
2018-09-30,37,False
2018-10-07,20,False
2018-10-14,42,False
2018-10-21,0,False
2018-10-28,20,False
2018-11-04,49,False
2018-11-11,41,False
2018-11-18,20,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,41,False
2018-12-16,22,False
2018-12-23,47,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,40,False
2019-01-20,19,False
2019-01-27,19,False
2019-02-03,58,False
2019-02-10,19,False
2019-02-17,20,False
2019-02-24,20,False
2019-03-03,21,False
2019-03-10,20,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,21,False
2019-04-07,0,False
2019-04-14,22,False
2019-04-21,21,False
2019-04-28,0,False
2019-05-05,30,False
2019-05-12,29,False
2019-05-19,0,False
2019-05-26,28,False
2019-06-02,0,False
2019-06-09,42,False
2019-06-16,20,False
2019-06-23,0,False
2019-06-30,20,False
2019-07-07,0,False
2019-07-14,20,False
2019-07-21,20,False
2019-07-28,29,False
2019-08-04,28,False
2019-08-11,54,False
2019-08-18,16,False
2019-08-25,0,False
2019-09-01,35,False
2019-09-08,38,False
2019-09-15,54,False
2019-09-22,18,False
2019-09-29,18,False
2019-10-06,27,False
2019-10-13,18,False
2019-10-20,0,False
2019-10-27,36,False
2019-11-03,33,False
2019-11-10,25,False
2019-11-17,0,False
2019-11-24,17,False
2019-12-01,17,False
2019-12-08,0,False
2019-12-15,18,False
2019-12-22,19,False
2019-12-29,18,False
2020-01-05,0,False
2020-01-12,32,False
2020-01-19,17,False
2020-01-26,40,False
2020-02-02,23,False
2020-02-09,24,False
2020-02-16,33,False
2020-02-23,16,False
2020-03-01,30,False
2020-03-08,21,False
2020-03-15,65,False
2020-03-22,47,False
2020-03-29,70,False
2020-04-05,38,False
2020-04-12,38,False
2020-04-19,91,False
2020-04-26,51,True
