date,Garten Sichtschutz,isPartial
2018-01-07,7,False
2018-01-14,7,False
2018-01-21,14,False
2018-01-28,21,False
2018-02-04,21,False
2018-02-11,17,False
2018-02-18,7,False
2018-02-25,34,False
2018-03-04,14,False
2018-03-11,17,False
2018-03-18,21,False
2018-03-25,22,False
2018-04-01,64,False
2018-04-08,77,False
2018-04-15,59,False
2018-04-22,25,False
2018-04-29,30,False
2018-05-06,41,False
2018-05-13,21,False
2018-05-20,22,False
2018-05-27,26,False
2018-06-03,14,False
2018-06-10,17,False
2018-06-17,21,False
2018-06-24,24,False
2018-07-01,21,False
2018-07-08,21,False
2018-07-15,37,False
2018-07-22,37,False
2018-07-29,23,False
2018-08-05,22,False
2018-08-12,11,False
2018-08-19,29,False
2018-08-26,14,False
2018-09-02,14,False
2018-09-09,0,False
2018-09-16,7,False
2018-09-23,0,False
2018-09-30,7,False
2018-10-07,14,False
2018-10-14,14,False
2018-10-21,22,False
2018-10-28,14,False
2018-11-04,7,False
2018-11-11,7,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,14,False
2018-12-09,7,False
2018-12-16,0,False
2018-12-23,16,False
2018-12-30,7,False
2019-01-06,6,False
2019-01-13,10,False
2019-01-20,6,False
2019-01-27,6,False
2019-02-03,17,False
2019-02-10,7,False
2019-02-17,23,False
2019-02-24,6,False
2019-03-03,32,False
2019-03-10,26,False
2019-03-17,40,False
2019-03-24,40,False
2019-03-31,31,False
2019-04-07,20,False
2019-04-14,59,False
2019-04-21,57,False
2019-04-28,24,False
2019-05-05,13,False
2019-05-12,13,False
2019-05-19,7,False
2019-05-26,20,False
2019-06-02,31,False
2019-06-09,31,False
2019-06-16,27,False
2019-06-23,31,False
2019-06-30,31,False
2019-07-07,37,False
2019-07-14,7,False
2019-07-21,29,False
2019-07-28,14,False
2019-08-04,11,False
2019-08-11,7,False
2019-08-18,14,False
2019-08-25,13,False
2019-09-01,19,False
2019-09-08,0,False
2019-09-15,20,False
2019-09-22,13,False
2019-09-29,16,False
2019-10-06,13,False
2019-10-13,10,False
2019-10-20,6,False
2019-10-27,13,False
2019-11-03,12,False
2019-11-10,6,False
2019-11-17,0,False
2019-11-24,6,False
2019-12-01,6,False
2019-12-08,6,False
2019-12-15,0,False
2019-12-22,7,False
2019-12-29,6,False
2020-01-05,6,False
2020-01-12,0,False
2020-01-19,17,False
2020-01-26,14,False
2020-02-02,6,False
2020-02-09,23,False
2020-02-16,17,False
2020-02-23,25,False
2020-03-01,14,False
2020-03-08,30,False
2020-03-15,16,False
2020-03-22,24,False
2020-03-29,35,False
2020-04-05,51,False
2020-04-12,80,False
2020-04-19,100,False
2020-04-26,42,False
2020-05-03,46,False
2020-05-10,42,False
2020-05-17,54,False
2020-05-24,42,False
2020-05-31,43,False
2020-06-07,20,False
2020-06-14,33,False
2020-06-21,14,False
2020-06-28,29,False
2020-07-05,39,False
