date,Swing,isPartial
2018-01-07,45,False
2018-01-14,55,False
2018-01-21,80,False
2018-01-28,24,False
2018-02-04,42,False
2018-02-11,60,False
2018-02-18,24,False
2018-02-25,57,False
2018-03-04,100,False
2018-03-11,58,False
2018-03-18,49,False
2018-03-25,74,False
2018-04-01,38,False
2018-04-08,42,False
2018-04-15,31,False
2018-04-22,32,False
2018-04-29,65,False
2018-05-06,41,False
2018-05-13,43,False
2018-05-20,48,False
2018-05-27,54,False
2018-06-03,90,False
2018-06-10,75,False
2018-06-17,41,False
2018-06-24,60,False
2018-07-01,81,False
2018-07-08,57,False
2018-07-15,47,False
2018-07-22,59,False
2018-07-29,73,False
2018-08-05,62,False
2018-08-12,51,False
2018-08-19,76,False
2018-08-26,65,False
2018-09-02,58,False
2018-09-09,59,False
2018-09-16,46,False
2018-09-23,76,False
2018-09-30,36,False
2018-10-07,73,False
2018-10-14,60,False
2018-10-21,43,False
2018-10-28,65,False
2018-11-04,42,False
2018-11-11,50,False
2018-11-18,42,False
2018-11-25,54,False
2018-12-02,74,False
2018-12-09,50,False
2018-12-16,65,False
2018-12-23,45,False
2018-12-30,48,False
2019-01-06,51,False
2019-01-13,43,False
2019-01-20,86,False
2019-01-27,51,False
2019-02-03,35,False
2019-02-10,60,False
2019-02-17,48,False
2019-02-24,78,False
2019-03-03,43,False
2019-03-10,30,False
2019-03-17,31,False
2019-03-24,61,False
2019-03-31,72,False
2019-04-07,67,False
2019-04-14,55,False
2019-04-21,49,False
2019-04-28,52,False
2019-05-05,46,False
2019-05-12,46,False
2019-05-19,96,False
2019-05-26,22,False
2019-06-02,53,False
2019-06-09,41,False
2019-06-16,44,False
2019-06-23,68,False
2019-06-30,78,False
2019-07-07,35,False
2019-07-14,83,False
2019-07-21,54,False
2019-07-28,73,False
2019-08-04,63,False
2019-08-11,52,False
2019-08-18,85,False
2019-08-25,51,False
2019-09-01,38,False
2019-09-08,56,False
2019-09-15,61,False
2019-09-22,54,False
2019-09-29,88,False
2019-10-06,56,False
2019-10-13,45,False
2019-10-20,92,False
2019-10-27,32,False
2019-11-03,58,False
2019-11-10,33,False
2019-11-17,42,False
2019-11-24,32,False
2019-12-01,67,False
2019-12-08,50,False
2019-12-15,28,False
2019-12-22,61,False
2019-12-29,62,False
2020-01-05,56,False
2020-01-12,41,False
2020-01-19,43,False
2020-01-26,47,False
2020-02-02,46,False
2020-02-09,70,False
2020-02-16,48,False
2020-02-23,54,False
2020-03-01,64,False
2020-03-08,56,False
2020-03-15,43,False
2020-03-22,39,False
2020-03-29,63,False
2020-04-05,37,False
2020-04-12,37,False
2020-04-19,53,False
2020-04-26,23,True
