date,Wohnungssanierung,isPartial
2018-01-07,33,False
2018-01-14,0,False
2018-01-21,33,False
2018-01-28,82,False
2018-02-04,34,False
2018-02-11,34,False
2018-02-18,34,False
2018-02-25,44,False
2018-03-04,33,False
2018-03-11,66,False
2018-03-18,0,False
2018-03-25,72,False
2018-04-01,36,False
2018-04-08,34,False
2018-04-15,35,False
2018-04-22,45,False
2018-04-29,35,False
2018-05-06,53,False
2018-05-13,67,False
2018-05-20,36,False
2018-05-27,34,False
2018-06-03,0,False
2018-06-10,33,False
2018-06-17,100,False
2018-06-24,34,False
2018-07-01,51,False
2018-07-08,33,False
2018-07-15,35,False
2018-07-22,70,False
2018-07-29,0,False
2018-08-05,35,False
2018-08-12,35,False
2018-08-19,52,False
2018-08-26,35,False
2018-09-02,45,False
2018-09-09,34,False
2018-09-16,0,False
2018-09-23,35,False
2018-09-30,0,False
2018-10-07,51,False
2018-10-14,68,False
2018-10-21,44,False
2018-10-28,33,False
2018-11-04,32,False
2018-11-11,55,False
2018-11-18,32,False
2018-11-25,32,False
2018-12-02,32,False
2018-12-09,65,False
2018-12-16,51,False
2018-12-23,0,False
2018-12-30,35,False
2019-01-06,63,False
2019-01-13,61,False
2019-01-20,46,False
2019-01-27,30,False
2019-02-03,0,False
2019-02-10,63,False
2019-02-17,48,False
2019-02-24,0,False
2019-03-03,32,False
2019-03-10,31,False
2019-03-17,49,False
2019-03-24,65,False
2019-03-31,43,False
2019-04-07,32,False
2019-04-14,53,False
2019-04-21,51,False
2019-04-28,47,False
2019-05-05,0,False
2019-05-12,65,False
2019-05-19,32,False
2019-05-26,33,False
2019-06-02,32,False
2019-06-09,65,False
2019-06-16,33,False
2019-06-23,33,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,33,False
2019-07-21,35,False
2019-07-28,34,False
2019-08-04,34,False
2019-08-11,43,False
2019-08-18,55,False
2019-08-25,32,False
2019-09-01,31,False
2019-09-08,48,False
2019-09-15,80,False
2019-09-22,93,False
2019-09-29,63,False
2019-10-06,47,False
2019-10-13,31,False
2019-10-20,30,False
2019-10-27,45,False
2019-11-03,39,False
2019-11-10,30,False
2019-11-17,30,False
2019-11-24,29,False
2019-12-01,0,False
2019-12-08,45,False
2019-12-15,51,False
2019-12-22,52,False
2019-12-29,64,False
2020-01-05,28,False
2020-01-12,28,False
2020-01-19,43,False
2020-01-26,42,False
2020-02-02,42,False
2020-02-09,28,False
2020-02-16,29,False
2020-02-23,46,False
2020-03-01,55,False
2020-03-08,26,False
2020-03-15,0,False
2020-03-22,25,False
2020-03-29,42,False
2020-04-05,28,False
2020-04-12,0,False
2020-04-19,52,False
2020-04-26,0,False
2020-05-03,43,False
2020-05-10,0,False
