date,Baumischabfall,isPartial
2018-01-07,41,False
2018-01-14,40,False
2018-01-21,61,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,42,False
2018-02-18,41,False
2018-02-25,41,False
2018-03-04,42,False
2018-03-11,41,False
2018-03-18,41,False
2018-03-25,0,False
2018-04-01,88,False
2018-04-08,83,False
2018-04-15,42,False
2018-04-22,41,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,87,False
2018-05-27,41,False
2018-06-03,42,False
2018-06-10,0,False
2018-06-17,40,False
2018-06-24,41,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,43,False
2018-07-22,0,False
2018-07-29,65,False
2018-08-05,44,False
2018-08-12,58,False
2018-08-19,43,False
2018-08-26,42,False
2018-09-02,41,False
2018-09-09,0,False
2018-09-16,42,False
2018-09-23,0,False
2018-09-30,85,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,42,False
2018-10-28,0,False
2018-11-04,40,False
2018-11-11,40,False
2018-11-18,39,False
2018-11-25,40,False
2018-12-02,0,False
2018-12-09,40,False
2018-12-16,41,False
2018-12-23,46,False
2018-12-30,43,False
2019-01-06,38,False
2019-01-13,56,False
2019-01-20,38,False
2019-01-27,38,False
2019-02-03,38,False
2019-02-10,0,False
2019-02-17,39,False
2019-02-24,40,False
2019-03-03,39,False
2019-03-10,57,False
2019-03-17,53,False
2019-03-24,40,False
2019-03-31,58,False
2019-04-07,39,False
2019-04-14,64,False
2019-04-21,0,False
2019-04-28,40,False
2019-05-05,38,False
2019-05-12,66,False
2019-05-19,39,False
2019-05-26,40,False
2019-06-02,39,False
2019-06-09,40,False
2019-06-16,40,False
2019-06-23,60,False
2019-06-30,39,False
2019-07-07,39,False
2019-07-14,82,False
2019-07-21,67,False
2019-07-28,43,False
2019-08-04,43,False
2019-08-11,62,False
2019-08-18,41,False
2019-08-25,80,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,40,False
2019-09-22,38,False
2019-09-29,39,False
2019-10-06,38,False
2019-10-13,38,False
2019-10-20,58,False
2019-10-27,75,False
2019-11-03,0,False
2019-11-10,37,False
2019-11-17,72,False
2019-11-24,35,False
2019-12-01,36,False
2019-12-08,36,False
2019-12-15,37,False
2019-12-22,43,False
2019-12-29,40,False
2020-01-05,70,False
2020-01-12,34,False
2020-01-19,53,False
2020-01-26,69,False
2020-02-02,34,False
2020-02-09,0,False
2020-02-16,87,False
2020-02-23,33,False
2020-03-01,100,False
2020-03-08,32,False
2020-03-15,42,False
2020-03-22,32,False
2020-03-29,42,False
2020-04-05,46,False
2020-04-12,76,False
2020-04-19,95,False
2020-04-26,0,False
2020-05-03,42,False
2020-05-10,42,False
