date,Pvc Dielen,isPartial
2018-01-07,62,False
2018-01-14,31,False
2018-01-21,51,False
2018-01-28,31,False
2018-02-04,31,False
2018-02-11,63,False
2018-02-18,32,False
2018-02-25,62,False
2018-03-04,63,False
2018-03-11,52,False
2018-03-18,0,False
2018-03-25,33,False
2018-04-01,100,False
2018-04-08,32,False
2018-04-15,0,False
2018-04-22,63,False
2018-04-29,65,False
2018-05-06,33,False
2018-05-13,52,False
2018-05-20,33,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,61,False
2018-06-17,31,False
2018-06-24,0,False
2018-07-01,31,False
2018-07-08,0,False
2018-07-15,33,False
2018-07-22,43,False
2018-07-29,32,False
2018-08-05,64,False
2018-08-12,33,False
2018-08-19,32,False
2018-08-26,32,False
2018-09-02,32,False
2018-09-09,32,False
2018-09-16,31,False
2018-09-23,32,False
2018-09-30,0,False
2018-10-07,63,False
2018-10-14,0,False
2018-10-21,31,False
2018-10-28,30,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,60,False
2018-11-25,0,False
2018-12-02,30,False
2018-12-09,0,False
2018-12-16,31,False
2018-12-23,36,False
2018-12-30,32,False
2019-01-06,0,False
2019-01-13,29,False
2019-01-20,29,False
2019-01-27,0,False
2019-02-03,29,False
2019-02-10,29,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,29,False
2019-03-10,0,False
2019-03-17,30,False
2019-03-24,0,False
2019-03-31,30,False
2019-04-07,29,False
2019-04-14,65,False
2019-04-21,32,False
2019-04-28,29,False
2019-05-05,29,False
2019-05-12,30,False
2019-05-19,29,False
2019-05-26,30,False
2019-06-02,30,False
2019-06-09,30,False
2019-06-16,31,False
2019-06-23,61,False
2019-06-30,60,False
2019-07-07,0,False
2019-07-14,31,False
2019-07-21,32,False
2019-07-28,0,False
2019-08-04,32,False
2019-08-11,30,False
2019-08-18,31,False
2019-08-25,60,False
2019-09-01,0,False
2019-09-08,30,False
2019-09-15,30,False
2019-09-22,58,False
2019-09-29,59,False
2019-10-06,58,False
2019-10-13,0,False
2019-10-20,28,False
2019-10-27,28,False
2019-11-03,27,False
2019-11-10,28,False
2019-11-17,41,False
2019-11-24,0,False
2019-12-01,28,False
2019-12-08,28,False
2019-12-15,29,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,53,False
2020-01-12,39,False
2020-01-19,40,False
2020-01-26,26,False
2020-02-02,26,False
2020-02-09,26,False
2020-02-16,27,False
2020-02-23,26,False
2020-03-01,51,False
2020-03-08,0,False
2020-03-15,47,False
2020-03-22,47,False
2020-03-29,24,False
2020-04-05,78,False
2020-04-12,37,False
2020-04-19,36,False
2020-04-26,31,False
2020-05-03,36,False
2020-05-10,36,False
